"","session_title","session_jel_code","number_of_authors","number_of_papers"
"473","Using Linked Census and Administrative Data to Analyze Intergenerational and Geographic Mobility (J6, D1)","",11,4
"474","Value-Added Models: New Methods and Applications","I2",10,4
"475","Valuing Climate Change Catastrophes","Q5",10,4
"476","Variance and Crash Risk Pricing","G1",9,4
"477","Wage Rigidity (J3, E2)","",9,4
"478","Water Resource Management Challenges: Efficient Institutions and Policies","Q5",9,3
"479","Wealth Taxation (E1, H1)","",11,4
"480","Weather and United States Economic Activity (E2, Q5)","",7,4
"481","Weather, Air Quality, Health and Crime","Q5",7,4
"482","Welfare Analysis When Choices Don’t Always Reveal Preferences: Applications to Health Policy","I1",12,4
"483","Welfare and Mergers in Vertical Relationships: Theory, Evidence and Policy Implications (L1, L4)","",12,4
"484","What Caused the Decline in Labor Market Mobility? (J2, E2)","",4,3
"485","Whatever Happened to Incomes Policy? In Honor of the Late Lloyd Ulman","J3",4,4
"486","Why Labor Is Not Like Broccoli: Session in Honor of Robert E. Prasch III (B5, J1)","",6,5
"487","Work Schedules: New Options, New Problems for Workers","J2",10,3
"488","Work Segregation","J7",6,4
