session_title,year,number_of_authors,number_of_papers
Economics of Commodity and Currency Markets,2015,9,4
Economics of Commodity Markets,2014,9,4
Economics of Conflict,2018,5,4
Economics of Conflict,2019,9,4
Economics of Crime,2014,12,4
Economics of Crime,2018,7,4
Economics of Crime,2019,12,6
Economics of Data,2019,8,3
Economics of Digital Advertising,2014,8,4
Economics of Education,2011,12,5
Economics of Education,2015,11,5
Economics of Education,2018,9,4
Economics of Families,2012,8,5
Economics of Fertility,2019,9,5
Economics of Financial Technology,2019,5,3
"Economics of Higher Education (I2, J7)",2016,12,4
Economics of Home Ownership,2018,7,4
Economics of Immigration,2011,7,4
Economics of Immigration,2015,9,4
Economics of Immigration,2018,10,4
Economics of Intergenerational Transfers and Wealth,2014,12,4
Economics of Internet Markets,2012,9,4
Economics of Management and Organizations,2013,9,4
Economics of Motherhood,2018,7,4
Economics of National Security,2013,5,4
Economics of National Security,2018,14,4
Economics of National Security,2019,9,4
Economics of Networks,2019,5,3
Economics of News and Information,2018,11,5
Economics of Nuclear Energy Post Fukushima,2012,4,3
Economics of Oil and Gas Markets,2018,8,4
"Economics of Race, Health, and Energy: Implications for African American Economic Welfare",2011,8,6
Economics of Revolutions,2014,10,4
Economics of SNAP Using Administrative Data,2019,8,4
Economics of Taxis and Uber,2018,6,4
Economics of the Arts,2011,9,4
Economics of the Automobile Sector,2011,11,4
Economics of the Family: Contemporary Issues and Empirical Challenges,2015,8,4
Economics of The Global Energy Transition,2015,9,4
Economics of the Internet,2013,8,3
Economics of the Internet and Mobile Computing,2014,7,3
Economics of the Pharmaceutical Industry: Current Issues,2019,8,3
Economics of Time Outside the Workplace,2014,1,1
Economics of Transportation II,2019,11,5
Economics of Voting,2018,7,4
Economics with Ancient Data,2019,17,4
"Economies of the GCC Countries: Oil, Stocks, and Sustainability",2011,9,5
Ecosystems and Common-Pool Resources,2013,9,4
"Education and Gender (I2, J1)",2016,8,4
Education and Homeownership,2018,11,4
Education and Youth,2018,7,4
Education in Developing Countries: Results from Randomized Control Trials in China,2011,10,3
"Education Life-cycle: School Entry, Investment, and College",2018,5,3
Education Management and Economic Growth,2012,9,4
Education Policies in African Countries,2015,7,4
Education Policy in Developing Countries,2014,10,4
Education Production Functions: Inputs and Outputs,2011,7,4
"Education, Health and Labor Market Outcomes: Comparative Evidence from Natural Experiments",2014,9,4
"Education, Human Capital and Gender (J16)",2014,8,4
"Education, Schools, and the Housing Market (R3, I2)",2016,9,4
Educational Choices and Returns to Skills,2012,11,4
"Educational Innovations and Social Mobility (I2, I3)",2016,13,4
Effects of Education and Access to Education,2013,14,6
Effects of Fiscal Policy in Deep Recessions: Simple and Hopefully Credible Empirical Evidence,2013,8,4
Effects of Institutions on Wages,2011,10,6
Effects of Public Policies on Health,2016,9,5
Effects of Public Policy Changes,2014,8,4
Effects of the Minimum Wage Policy in China,2015,8,4
Effects of United States Proposed Trade Policies,2018,5,4
Effects on Preferences Regarding Risk & Ambiguity,2014,15,6
Efficient Pricing in Health Care Markets,2015,11,4
Efficient Public Finance in the Institutional Framework,2011,5,5
Eight Years Later: Analyses of ACA Health Insurance Markets,2018,7,3
Electricity Markets,2019,4,4
Electricity Markets and the Environment,2019,7,4
"Electronic Commerce and Big Data (L8, M2)",2015,11,4
Eliciting Information for a Stopping Time Decision,2015,5,4
Emergent Dynamics in Multi-Agent Models of Growth and Social Interactions,2015,13,4
Emerging Issues in Commodity Markets,2013,8,4
"Emerging Issues in Telecommunications (L9, L5)",2015,9,4
Emerging Markets,2015,13,5
Emerging Models of Employment Relationships in China: Challenges and Opportunities,2011,6,4
"Empirical Advances in Macro-Labor (J6, J2)",2016,7,3
Empirical Analyses of Health Care Reforms,2018,9,4
Empirical Analyses of Monetary and Credit Policies,2018,12,4
Empirical Analyses of Selling Mechanisms in Dynamic Environments,2015,7,3
"Empirical Analyses of the Impact of Conflict (H5, F5)",2015,9,5
Empirical and Theoretical Aspects of Monetary Policy,2018,9,4
Empirical and Theoretical Developments in Marxian Political Economy,2018,4,4
Empirical and Theoretical Explorations of the Instability of Capitalism,2018,6,5
"Empirical Applications of Behavioral Welfare Analysis (D6, H2)",2016,10,4
Empirical Approaches to Sovereign Debt Default and Monetary-Fiscal Interactions,2012,6,3
Empirical Aspects of the Cause and Effects of Terrorism,2012,10,4
Empirical Assessments of International Shock Transmission for Asia,2013,7,4
Empirical Asset Pricing: Long Run Risk and Funding Risk,2015,10,4
Empirical Banking Research,2016,8,4
Empirical Behavioral Industrial Organization,2013,12,4
Empirical Compensation and Incentives,2019,9,4
Empirical Corporate Governance,2015,9,4
Empirical Evidence on Exchange Rates,2012,13,5
Empirical Evidence on Political Contributions and Connections,2012,7,3
Empirical Implications of Market Microstructures,2012,8,3
Empirical IO,2011,9,4
Empirical IO 1,2011,8,4
Empirical IO 2,2011,10,4
Empirical Issues in Financial Intermediation,2011,10,3
Empirical Labor Economics (J),2012,12,5
Empirical Links Between Equity and Credit Markets,2011,8,3
Empirical Macroeconomics,2011,8,4
Empirical Macroeconomics 2,2011,9,4
Empirical Market Design,2015,8,4
Empirical Methods and Estimation,2013,7,3
"Empirical Methods for Housing Markets (R3, C1)",2016,8,4
Empirical Methods in Health Economics,2011,10,4
Empirical Models for Policy Evaluation,2014,7,4
Empirical Studies in International Trade,2014,12,5
Empirical Studies of Bank Deposits and Bank Lending,2018,7,4
Empirical Studies of Bank Regulation and Bank Market Structure,2019,10,4
Empirical Studies of Banking,2016,7,3
"Empirical Studies of Bargaining with Incomplete Information (C5, C7)",2015,8,4
Empirical Studies of Collusion,2019,12,4
Empirical Studies of Contracting: The Case of United States Oil and Gas Leases,2018,11,4
Empirical Studies of Contracts,2014,12,4
Empirical Studies of Current Trends in Racial Inequality,2018,6,4
Empirical Studies of Distributional Issues,2018,4,4
Empirical Studies of Growth and Distribution,2019,4,3
"Empirics of Capital Taxation (H2, G3)",2016,7,4
Empirics of Growth,2011,10,4
"Empirics of Markets with Information and Learning (L1, M1)",2016,9,4
Employee Ownership and Shared Capitalism: New Directions and Debates for the 21st Century,2011,5,5
Employer Search and Hiring in Organizations,2014,8,4
Employment Effects of Arizona’s 2007 Legislation Against the Hiring of Unauthorized Immigrants,2012,10,4
"Employment of Women, Minorities, Immigrants Session I--LERA Competitive Papers",2013,2,2
"Employment of Women, Minorities, Immigrants Session II - LERA Competitive Papers",2013,5,3
Employment Policies for the Modern Era: Understanding Who Has Access to Policies on Care and How they Affect Employment,2014,9,3
Employment Relations in the Healthcare Setting,2015,9,4
Employment Structure and Inequality,2014,8,4
"Employment, Migration and Inequality",2018,6,4
Enabling Myths as Social Control,2014,5,5
"End Poverty, Revive Democracy, and Rethink Economics: Policy and Theory Alternatives to the Neo-Liberal Status Quo",2016,5,5
Endogeneity and Instrumental Variables,2012,9,4
Endogenous Legal and Regulatory Institutions: Theory and Evidence,2012,9,4
Enduring Insight From John R. Commons,2018,5,5
"Energy and Energy-Intensive Industry (Q4, L2)",2015,10,4
Energy and Macroeconomics,2019,6,4
"Energy and the Environment (R1, Q5)",2016,9,4
Energy Conservation and Electricity Demand,2011,5,3
Energy Economics,2019,10,4
"Energy Economics, Regime Changes, and Sustainability",2018,8,4
Energy Efficiency and Consumer Behavior,2013,6,4
Energy Extraction and Water Provision,2013,8,4
Energy in the Developing World,2014,6,3
Energy Policy,2018,10,4
"Energy, Environment, and Local Economic Spillovers",2014,11,4
"Energy: Renewables, Electricity Usage and the Energy Efficiency Gap (Q4, L9)",2015,10,4
"Enterprising America: Businesses, Banks, and Credit Markets in Historical Perspective",2014,4,3
Entrepreneurial Finance,2015,8,3
Entrepreneurial Finance / Venture Capital,2018,10,4
Entrepreneurial Finance and Crowdfunding,2016,7,3
Entrepreneurial Finance/Venture Capital,2019,16,4
"Entrepreneurship and Creativity (O3, J2)",2015,11,4
Entrepreneurship and Job Creation,2011,8,4
Entrepreneurship and the Labor Market,2018,11,4
"Entrepreneurship, Innovation, and Management",2014,12,4
"Entry, Exit and Pricing",2011,9,5
Environment and Development,2012,8,3
Environment and Development,2018,13,4
Environment and Health,2019,10,4
"Environment and Health (Q5, R4)",2015,9,4
Environmental Constraints and Land-Use Decisions,2012,12,4
Environmental Controls and Effects,2016,12,5
Environmental Economics,2012,8,4
Environmental Economics,2015,12,5
Environmental Economics,2018,10,4
Environmental Externalities and Agriculture,2019,7,4
Environmental Information and Asset Pricing,2016,6,3
Environmental Kuznets Curve: Theoretical and Methodological Perspectives,2012,5,3
Environmental Policy and Program Evaluation,2013,12,4
Environmental Policy Evaluation,2011,6,4
Environmental Policy in Developing Countries,2013,7,3
Environmental Regulation,2012,8,4
Environmental Regulation in Second-Best Settings,2016,10,4
"Environmental Risk, Justice, and Amenities in Housing Markets",2019,8,4
Environmental Taxes and Subsidies,2019,8,4
Equity and Medical Utilization,2011,7,3
Equity Factors,2016,5,3
Equity Risk Premia: Cross-Sectional Variation,2013,9,4
Equity Risk Premium,2012,9,3
Equity Risk Premium,2013,6,3
"Equity, Access, and Outcomes: New Strategies for Employee/Employer Relations",2015,6,3
"Essential Elements of a Genuine ""Jobs and Wages"" Policy Agenda",2013,5,5
Estate and Gift Taxation,2013,3,3
"Estate Taxation and the Intergenerational Transmission of Wealth (H2, J1)",2016,8,3
Estimating Climate Change Damages,2018,5,4
Estimating Sampling Variances and Robust Inference,2015,10,4
Estimating Trade Elasticities,2012,12,4
Estimation and Interpretation of Tax Distortions,2018,10,4
Estimation of Education Models,2014,10,4
Estimation of Industrial Organization Models,2014,11,5
Estimation of Models of Wage Determination and Wage Dynamics,2014,6,4
"Ethical Challenges Facing the Academic Economist: Theoretical Work and Pedagogy (A1, B4)",2015,4,4
Ethical Norms in Finance,2015,11,4
Ethics in Agricultural and Applied Economics Research,2019,4,4
"Ethics, Global Finance and the Great Recession (E3, I3)",2015,10,5
"Ethnicity, Identity, and the Labor Market",2011,15,4
Euro-Area Bank Liquidity (Co-Sponsored by the U.S. Office of Financial Research and European Central Bank),2016,10,3
European Banking and Monetary Transmission,2014,12,4
European Economic and Financial Crises and Capital Flows (Ayres Visiting Scholar Session),2013,5,5
European Economic Association Lecture,2011,2,1
European Economic Association Lecture,2012,1,1
European Economic Association Lecture,2013,1,1
European Economic Association Lecture,2014,1,1
"European Integration at a Crossroads (F4, G3)",2016,9,4
European Integration: New Challenges and New Hopes,2018,9,4
European Labor Markets,2013,7,4
Eurozone Crisis,2014,5,5
Evaluating Empirical Tools for Horizontal Merger Analysis,2011,6,3
Evaluating Energy Efficiency Programs,2016,8,4
Evaluating Health Insurance Reform,2014,10,4
Evaluating Survey Data Quality Using Administrative Records,2016,14,4
Evaluating Teacher Quality using Standardized Tests,2013,9,3
Evaluation of Social Programs,2014,12,5
Events in Financial History,2015,5,4
Every Little Bit Counts: Factors that Influence Student Learning in Economics,2012,7,4
Evictions and Housing Stability,2019,8,3
"Evidence from Lab and Field Experiments on Discrimination (J7, J2)",2016,10,4
Evidence on Asset Price Bubbles,2011,7,3
"Evidence on Health Spending Growth and Slowdown Using Medicaid, Medicare, and Household Data (I1, H5)",2016,8,3
"Evolutionary Dynamics in Financial Markets: Booms, Busts, and Policy",2018,8,4
Examining Social Provisioning through Global Value Chains,2015,6,5
Exchange Rate Determination,2019,9,5
Exchange Rate Developments and Labor Markets: What do the Theory and the Data Tell Us?,2014,9,4
Exchange Rate Disconnect and Trade Elasticities,2018,13,4
Exchange Rate Modelling,2011,7,4
Exchange Rate Regimes in the Middle East: Analysis and Ramifications,2012,13,5
Exchange Rates,2011,10,5
Exchange Rates,2012,12,5
Exchange Rates,2019,10,3
Exchange Rates and Adjustment,2016,9,4
Exchange Rates and Capital Flows,2019,6,3
Exchange Rates and Fundamentals,2014,10,4
Exchange Rates and International Capital Market,2018,9,4
Exchange Rates and Prices,2013,8,4
Exchange Rates and the Macroeconomy,2012,8,4
"Exchange Rates and the Macroeconomy (F3, F4)",2016,8,3
Exchange Rates and Trade,2016,8,4
"Exchange Rates, Monetary Policy, and the Real Economy (F3, G1)",2016,9,4
"Exchange Rates, Trade and the Chinese Economy (F1, F3)",2015,12,4
"Exchange Rates: Facts, Policy and Currency Manipulation",2018,4,2
Executive Compensation 1,2012,6,3
Executive Compensation 2,2012,11,4
Executive Compensation and CEO's,2013,8,3
Executive Compensation and Turnover,2011,9,3
"Expectation, Sentiment, and Asset Prices",2015,13,4
"Expectations and Asset Prices in Dynamic Macro Models (E3, G1)",2016,6,4
Expectations and the Real Estate Boom and Bust of the Late 2000s,2019,12,4
Expectations in Household Finance,2019,12,4
"Expectations, Learning, and Household Choices",2018,12,4
Experimental Auctions: Evidence from the Lab and Field,2013,11,4
"Experimental Evidence of the Impact of Online Education on Student Outcomes (I2, A2)",2015,11,3
"Experimental Finance and Neuroeconomics (G1, D8)",2015,7,3
"Experimental Gender Economics (C9, D8)",2016,10,4
"Experimental Impacts of Vocational Education in Low and Middle Income Countries (J1, O1)",2016,15,4
Experimental Work on the Causes and Consequences of Religion and Virtuous Behavior.,2012,7,3
"Experimentation: Product Adoption, Bargaining and Asymmetric Information",2019,7,4
Experimenting with Organizations,2011,10,4
Experiments,2015,11,5
Experiments in Economic Development,2014,9,3
Experiments in Economics: Historical and Methodological Perspectives,2014,3,3
Experiments in Firms,2011,10,4
Experiments in Firms,2012,12,4
"Experiments on Bargaining: The Role of Risk, Deadlines and Reference Points (C7, C9)",2016,8,4
Experiments on Entrepreneurship and Innovation,2018,12,4
Experiments on Financial Markets,2019,4,4
Experiments on Household and Business Finance,2012,12,4
"Experiments on Liquidity, Loans, and Time Preferences",2018,15,4
"Experiments with Firms in Developing Countries (L1, M1)",2015,9,4
Experiments with Small Enterprises,2014,9,3
Expert and Consensus in Economics,2013,4,4
Expertise,2012,6,5
"Expertise, Strategic Sophistication, and Strategic Behavior",2011,10,4
Explaining and Taming Financial Crises and Business Cycles,2011,6,5
Explaining Commodity Price Fluctuations,2014,7,4
Explaining the Decline in Labor Force Participation in the United States,2019,8,4
"Explaining the Energy Paradox (D1, L2)",2015,11,5
"Exploitation and Class, Thirty Years after ""A General Theory""",2012,4,3
Exploiting Experiments and Quasi-Experiments to Identify Gender Related Outcomes,2012,9,4
"Exploration of New and Existing Data for the Chinese Economy: Food, Health, and Economic Well Being",2014,13,4
Exploration of New and Existing Macro Data for the Chinese Economy,2014,4,4
Explorations in Christian Thought and Economic Analysis,2019,4,4
Explorations in Gender and Economic Wellbeing,2015,8,4
Explorations in Race and Gender,2011,5,4
Exploring China’s Economic Imbalance,2012,9,5
"Exploring Mechanisms Underlying the Gender Gap: Promotion, Perceptions, and Professional Networks",2019,6,3
"Exploring the Link Between Regulation, Credit Markets, and Real Estate",2013,12,4
Exploring the Potential for Improvements in Economics Education,2015,8,5
Exploring the Role of Mortgage Lending Using Credit Report Data,2013,12,4
Export Entry and Growth,2011,14,4
"Exposing Weaknesses in Forensic Economic Analysis (K1, A1)",2016,3,3
"External Validity of Field Experiments (B4, O1)",2015,6,4
Externalities and Housing,2011,8,4
Externalities and the Power of Perceptions for Cash Transfer Programs,2014,4,4
Extreme Wage Inequality: Evidence and Policy Responses,2013,7,4
Factor Models and Structural VARs,2013,8,4
"Faith-Based Institutions, Education and Choices",2014,8,4
Families and the Macro Economy,2013,9,4
Family and Finance,2012,8,4
Family and Social Transfers for an Aging Population,2018,5,4
Family Economics: New Results on Mothers' Labor Market Success and Children's Long-Run Wellbeing,2011,11,4
"Family Firms, Internal Capital Markets and Entrepreneurship (G3, F3)",2015,8,3
Family Formation,2013,10,4
Family Networks in Developing Countries,2012,6,4
Family Structure and Intra-household Bargaining: Causes and Consequences,2012,6,4
Featured Plenary: The Changing Job Market: What to Expect,2016,2,2
Federal Government Tax Reform: The Andrew Brimmer Policy Forum,2012,6,5
"Female Bargaining Power in Developing Countries (O1, J1)",2015,8,3
"Feminist Exploration in Labor Market, Discrimination and Care Needs",2015,10,5
Feminist Labor Market Analyses,2012,6,5
Fertility Decisions,2014,12,6
Field Experiments,2015,12,4
Field Experiments,2019,8,4
"Field Experiments in Charitable Giving (D6, H4)",2015,9,4
"Field Experiments in Economics: The Theory, The Firm, and The Policymaker",2011,9,3
Field Experiments in Health Economics,2012,14,4
Field Experiments in Tax Compliance,2014,12,4
Field Experiments on Financial Decisions Among the Poor,2011,10,4
Field Experiments on Savings in Developing Countries,2012,12,4
Finance and Asset Markets,2014,13,5
Finance and Development,2018,9,3
Finance and Development,2019,10,3
Finance and Development/ International Finance,2014,10,4
Finance and Politics,2015,10,3
Finance and Politics,2019,10,4
Finance and Product Market Competition,2018,5,3
Finance and Resource Allocation over Space and Time,2019,9,4
Finance and the Firm's Workforce,2016,9,3
Finance in Developing Economies,2016,11,4
"Finance, Distribution and the Financial Crisis",2013,6,5
Financial Access and Economic Development,2012,6,5
Financial Advisors and Financial Advice,2016,8,3
Financial Advisors and Financial Advice,2019,7,3
Financial Analysts,2014,10,4
"Financial and Economic Stability in the European Union (G2, F3)",2015,12,4
Financial and Labor Market Frictions,2014,8,5
"Financial Architecture and Regulation (G2, L1)",2015,10,4
"Financial Constraints and Macroeconomic Risk (E3, F3)",2015,7,4
"Financial Constraints, Interest Rates and Productivity Growth",2019,12,4
Financial Contracts and the Macro Economy,2015,7,4
Financial Crises,2013,7,4
Financial Crises and Banking Regulation,2015,8,3
"Financial Crises and Beliefs (G1, G2)",2015,6,3
Financial Crises and Macroeconomics (AEJ-Macro Session),2011,6,3
Financial Crises and Systemic Runs,2011,6,3
Financial Crises and Their Resolution in the History of Economic Thought,2014,4,4
Financial Crises and Transmission of Shocks,2018,10,3
Financial Crises and Transmission of Shocks,2019,7,4
Financial Crises in Historical Perspective,2016,11,4
"Financial Crises, Systemic Risk and Macroprudential Regulation",2011,5,3
Financial Crisis,2011,8,4
Financial Crisis,2012,11,4
Financial Crisis,2013,9,3
"Financial Crisis, Institutional Changes and Variety of Capitalism",2016,8,5
Financial Decision-Making and the Household Balance Sheet,2014,12,4
Financial Development,2019,15,4
Financial Distress and Bankruptcy,2018,7,4
Financial Distress and Corporate Bankruptcy,2014,8,4
Financial Distress and Corporate Bankruptcy,2015,10,4
Financial Distress and Resolution,2019,14,4
Financial Econometrics,2011,9,4
Financial Econometrics,2015,10,4
Financial Econometrics and Volatilities,2012,11,4
Financial Economic History,2013,9,5
Financial Economics,2016,13,5
Financial Facets of the Great Recession,2012,6,5
"Financial Fragility, Secular Stagnation, and Income Distribution",2019,8,4
Financial Frictions and Asset Pricing,2011,7,3
Financial Frictions and Real Activity: Lessons from the Crisis,2013,8,4
Financial Frictions and the Business Cycle,2012,8,4
Financial Frictions and the Macroeconomy,2014,8,4
Financial Frictions and the Macroeconomy,2015,10,5
"Financial Frictions, Business Cycles and Investment Dynamics",2014,10,4
Financial History,2012,8,4
"Financial History and Asset Pricing (G1, N2)",2016,11,4
"Financial Imbalances, Fragilities and Policy Solutions",2019,4,4
"Financial Inclusion Through Savings: Commitment Devices, Mobile Money, and the Role of Trust",2018,14,4
Financial Innovation,2012,6,4
Financial Innovation and Securitization,2011,14,4
Financial Innovation in Developing Countries: How Novel Savings and Loan Products Relax Liquidity Constraints and Improve Welfare,2019,12,4
Financial Instability and the Macroeconomy,2019,14,4
Financial Instability and the Political Economy of Trumponomics and Brexit,2018,4,4
Financial Institutions,2019,8,3
Financial Institutions and Risk Taking,2011,10,4
Financial Institutions-Theory,2011,9,4
Financial Integration and Global Rebalancing,2012,6,4
Financial Integration and International Portfolios,2011,9,4
Financial Intermediaries and the Macroeconomy: New Advances,2018,8,4
Financial Intermediation,2018,8,3
Financial Intermediation,2019,10,4
"Financial Intermediation (G2, E5)",2016,7,4
Financial Intermediation and Bank Risk Taking,2014,8,4
Financial Intermediation and Financial Crisis,2013,8,4
Financial Intermediation and the Cost of Debt,2012,7,3
Financial Literacy and Choices,2019,6,4
Financial Literacy and Consumer Finance,2015,9,4
Financial Market Developments and Labor Relations,2015,10,5
Financial Market Reactions to News,2011,12,5
Financial Markets and Economic Development,2013,9,3
Financial Markets and Financial Institutions,2015,6,3
Financial Markets and Government Interactions,2016,8,3
Financial Markets and State and Local Government Borrowing,2011,7,4
"Financial Markets, Institutions and Regulations",2014,13,5
Financial Networks,2013,10,4
Financial Policies: Lessons from Historical and Long Run Perspectives,2013,11,4
Financial Reform - What's Really Needed?,2012,4,3
Financial Regulation,2016,9,3
Financial Regulation and Information,2014,8,4
Financial Regulation and Policy,2011,11,4
Financial Regulation and Policy,2012,11,4
Financial Regulation and Policy,2013,10,4
Financial Regulation: Empirics,2018,10,4
Financial Regulation: Theory,2018,8,4
Financial Stability,2016,15,6
Financial Stability,2019,6,3
Financial Stability (Sponsored by the Office for Financial Research (OFR)),2015,11,4
Financial Stability and Cross-Border Capital Flows During the Great Recession,2014,9,4
Financial System Stability,2016,10,4
"Financialisation and Gender (J1, G1)",2016,4,4
"Financialisation and Inequality (E4, D6)",2016,11,5
"Financialisation and Institutional Changes (B5, G3)",2016,10,5
"Financialisation, Policy and Spatial Inequalities (E4, N2)",2016,10,5
Financialization and the Real Economy,2013,8,5
"Financialization, Global Crisis, and Economic Stagnation",2018,5,5
"Financialized Economy, Imbalances, and Public Action in the Age of Uncertainty and Systemic Crises",2019,7,5
Financing Frictions and Their Impact on Liquidity,2018,5,3
FinTech,2018,6,3
FinTech and the New Financial Landscape,2018,5,3
FinTech Applications in Credit and Asset Markets,2019,12,4
"Firm Behavior, Standards, and the Provision of Energy Efficiency",2014,8,4
"Firm Dynamics and Growth (O4, E6)",2015,13,4
"Firm Dynamics, Productivity and Allocation of Resources",2018,10,4
"Firm Heterogeneity in the Macroeconomy (E3, O3)",2015,12,4
"Firm Location (R5, R3)",2015,8,4
Firm Responses to Incentives and Regulation,2018,13,4
Firm Responses to International Taxation,2019,6,4
"Firm-Level International Linkages (F1, F2)",2016,8,4
Firms and Contracts,2015,9,5
Firms and Markets,2016,5,3
Firms and the Aggregate Economy,2016,14,4
Firms in Developing Economies,2016,5,4
Firms in the International Economy,2011,7,3
"Firms, Finance and Global Recessions",2014,11,3
"Firms, Innovation and Productivity",2013,17,4
"Firms, Insurance, and Market Frictions (E2, G3)",2015,11,4
"Firms, Markets and Quality Provision in Developing Countries",2019,12,4
"Firms, Productivity and Exporting",2015,11,4
"Firms, Uncertainty and the Business Cycle",2014,9,5
Fiscal and Debt Policies for the Future,2014,8,5
Fiscal Empirics,2012,10,5
Fiscal Interventions,2011,10,5
"Fiscal Issues and Public Economics (H2, H3)",2016,9,4
Fiscal Limits,2011,7,4
Fiscal Policies and Outcomes (H),2012,9,5
Fiscal Policy,2018,10,4
Fiscal Policy Analysis,2012,7,4
Fiscal Policy during and after the Financial Crisis,2012,11,4
Fiscal Policy under Macroeconomic Uncertainties,2013,11,4
"Fiscal Policy, Financial Policy & Default",2014,10,4
Fiscal Policy: Combining Micro Data and Macro Models,2019,14,5
Five Unrelated but Interesting Papers,2011,13,5
Fixed Income - Credit,2012,6,3
Fixed Income - Term Structure,2012,9,4
Fixed Income and Credit Risk,2019,13,4
Fixed Income Markets,2015,11,4
"Fixing Jobs, Activities and Value: Policy Challenges in a More Open World",2014,4,4
Fluctuations in Risk Over the Business Cycle,2013,9,4
"Food Access, Availability, and Choice: Critical Research and Policy Issues",2013,10,4
"Food Access, Food Choice and Obesity: Theoretical and Empirical Advances (I1, Q1)",2016,8,3
"Food Environment, Food Choices and Nutrition Outcomes – An International Perspective",2015,13,4
Food Markets and Nutrition,2019,12,4
"Food Price Shocks, Health and Minority Groups",2014,14,4
Food Stamps: Participation and Food Insecurity,2012,10,4
"Food, Terror and Conflict",2014,8,4
Forecasting and Prediction,2016,8,4
Forecasting Growth and Development,2014,5,4
Forecasting/Financial Econometrics,2013,7,4
"Foreign Investment, Technology Transfer, and Firm Reorganization",2019,14,4
Foreign STEM Students and Immigration Policy,2018,8,4
Forensic Economics I,2011,4,3
Forensic Economics I - Commercial Damage Session,2013,3,3
"Forensic Economics I (K2, K2)",2015,4,3
Forensic Economics II,2012,5,3
Forensic Economics II - Earnings/Equity Models in Forensic Economics,2018,7,3
Forensic Economics II - Treatment of Taxes and Other Issues in Forensic Economics,2013,3,3
"Forensic Economics II (K2, K2)",2015,5,3
Forensic Economics III,2011,8,3
Forensic Economics III,2012,6,3
Forensic Economics III - Economic Damages,2018,4,3
Forensic Economics III - Worklife and Education in Forensic Economics,2013,6,3
"Forensic Economics III (K2, K2)",2015,4,3
Forensic Economics IV,2011,6,3
Forensic Economics IV,2012,5,3
Forensic Economics IV - Worklife Expectancy and NAFE Survey Discussion,2018,3,3
"Forensic Economics IV (K2, K2)",2015,6,3
Forestry and Agriculture,2019,8,4
Forests and Agriculture,2013,12,4
Formation of Cognitive and Non-cognitive Skills and Social Preferences,2012,15,4
Forty Years Since the 1973 OPEC Embargo: U.S. Energy Policy and Lessons for the Future,2013,4,4
Forward Guidance,2018,9,4
Forward Guidance in Monetary Policy,2016,12,5
Fossil Fuel and Transportation,2012,7,4
Foundational Issues in Game Theory,2012,6,4
"Foundations of Belief Formation: Perceptional and Cognitive Biases, Emotional Coloring, and the Role of Memory",2019,11,4
Four Perspectives on International Trade Costs and Their Implications,2015,7,4
Fresh Thinking and New Tools in Regulated Industries,2016,9,4
From G7 to G20,2013,4,4
From Subprime Lending to Foreclosures: America’s Invisible Crisis of Race and Inequality,2012,11,6
Frontier Issues in Utility Regulation,2011,12,5
Frontiers in Corporate Decision-Making,2015,12,4
Frontiers in Regression Discontinuity Designs,2016,9,5
Frontiers in the Economics of Food Labeling,2016,12,4
Frontiers in the Study of the Economics of Terrorism,2014,8,5
Frontiers of Corporate Governance,2018,10,3
Frontiers of Empirical Industrial Organization,2015,12,4
Frontiers of Feminist Economics,2011,9,4
Frontiers of Market Design,2014,12,4
Frontiers of Matching Theory,2011,12,4
Frontiers of Productivity and Output Measurement,2011,10,3
Fuel Efficiency,2018,9,4
Fund Managers,2016,12,4
Fund Performance,2018,12,4
Fundamental Causes of the Great Crisis: Inequality and Uncertainty,2012,7,5
Funding and Market Liquidity,2012,8,3
Funding Markets and the Financial Crisis,2012,8,3
Funding of Shadow Banks,2012,11,4
"Fundraising Experiments (H4, D6)",2015,10,4
Gains from Trade When Firms Matter,2014,8,4
Game Theory,2014,6,4
Game Theory and Auctions,2011,7,5
Games with Communication,2012,7,4
GCC's Economies: Financial and Stock Markets Analysis,2013,10,6
"Gender and Altruistic Decisions (D6, J1)",2016,7,4
Gender and Austerity in the Great Recession,2013,8,4
Gender and Development,2019,10,3
Gender and Economic Development in Africa,2014,10,6
Gender and Educational Investment,2016,5,4
Gender and Employment in Africa,2019,15,6
Gender and Household Decisions and Divisions,2014,5,4
Gender and Identity in Developing Economies,2019,7,3
Gender and Labor Markets,2011,5,4
Gender and Professional Work,2011,5,3
Gender and Race Stratification: Effects of the 'Great Moderation' and the 'Great Recession',2013,9,4
Gender and Social Policy,2011,10,4
Gender and the Economics of the Household and Family,2011,6,4
"Gender at Work: Evidence from Experimental Economics (C9, J7)",2016,11,5
Gender Constructions,2011,7,4
Gender Differences,2011,11,5
Gender Differences,2014,10,5
Gender Differences,2019,8,4
Gender Differences and Economic Outcomes,2019,10,4
"Gender Differences in Career Outcomes (J1, J7)",2016,10,4
Gender Differences in Networks,2018,7,4
Gender Differences in Skills and Effects on Educational and Labor Market Outcomes,2019,11,4
Gender Differences in Social Preferences,2013,13,4
"Gender Disparities in Debt, Health Outcomes and Poverty",2012,7,4
Gender Economics,2016,6,4
"Gender Equality, Microfinance and Development",2015,10,5
Gender Gaps,2019,10,4
"Gender Gaps in Childhood: Skills, Behavior, and Labor Market Preparedness",2016,12,3
Gender Gaps in Labor Market Outcomes,2014,10,4
Gender Gaps: Occupations and Family Responsibilities,2014,9,4
