author,author-corrected,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,,,,,
BRIAN VIARD,Brian Viard,Male,,,,,,,,,,
JEAN-PIERRE DUBE,Jean-Pierre Dube,Male,"Jean-Pierre Dube	",JEAN PIERRE DUBE,Jean-Pierre H. Dubé,,,,,,,
SHAWN KLIMEK,Shawn Klimek,Male,,,,,,,,,,
TIM DUNNE,Tim Dunne,Male,,,,,,,,,,
YI XU,Yi Xu,Male,,,,,,,,,,
JORDI JAUMANDREU,Jordi Jaumandreu,Male,,,,,,,,,,
ULRICH DORASZELSKI,Ulrich Doraszelski,Male,,,,,,,,,,
HANH AHLEE,Hanh Ahlee,Female,,,,,,,,,,
LUIS GARICANO,Luis Garicano,Male,,,,,,,,,,
STEVEN TADELIS,Steven Tadelis,Male,,,,,,,,,,
WESLEY YIN,Wesley Yin,Male,,,,,,,,,,
KEITH MASKUS,Keith Maskus,Male,,,,,,,,,,
BRIAN JACOB,Brian Jacob,Female,BRIAN JACOB,,,,,,,,,
AVI GOLDFARB,Avi Goldfarb,Male,,,,,,,,,,
WESLEY COHEN,Wesley Cohen,Male,,,,,,,,,,
CLAIRE LELARGE,Claire Lelarge,Female,,,,,,,,,,
JIANDONG JU,Jiandong Ju,Male,,,,,,,,,,
KOSUKE AOKI,Kosuke Aoki,Male,,,,,,,,,,
GIANLUCA BENIGNO,Gianluca Benigno,Male,,,,,,,,,,
ROSS LEVINE,Ross Levine,Male,,,,,,,,,,
RODNEY RAMCHARAN,Rodney Ramcharan,Male,,,,,,,,,,
BENT SORENSEN,Bent Sorensen,Male,,,,,,,,,,
NOURIEL ROUBINI,Nouriel Roubini,Male,,,,,,,,,,
ALBERTO MARTIN,Alberto Martin,Male,,,,,,,,,,
DOIREANN FITZGERALD,Doireann Fitzgerald,Female,,,,,,,,,,
THIERRY VERDIER,Thierry Verdier,Male,,,,,,,,,,
ELIAS PAPAIOANNOU,Elias Papaioannou,Male,,,,,,,,,,
NIKOLAUS WOLF,Nikolaus Wolf,Male,,,,,,,,,,
NATALIE CHEN,Natalie Chen,Female,,,,,,,,,,
ANDREW SCOTT,Andrew Scott,Male,,,,,,,,,,
JENS ARNOLD,Jens Arnold,Male,,,,,,,,,,
JOZEF KONINGS,Jozef Konings,Male,,,,,,,,,,
MARY AMITI,Mary Amiti,Female,,,,,,,,,,
ABDURRAHMAN AYDEMIR,Abdurrahman Aydemir,Male,,,,,,,,,,
ANDREA WEBER,Andrea Weber,Female,,,,,,,,,,
MUTLU YUKSEL,Mutlu Yuksel,Male,,,,,,,,,,
MARIA GUADALUPE,Maria Guadalupe,Female,,,,,,,,,,
VINCENTE CUNÌƒAT,Vincente CunÁ��at,Male,,,,,,,,,,
MARKUS JANTTI,Markus Jantti,Male,,,,,,,,,,
FREDERICK ANDERSSON,Frederick Andersson,Male,,,,,,,,,,
DAVID SCHKADE,David Schkade,Male,,,,,,,,,,
RACHEL FRIEDBERG,Rachel Friedberg,Female,,,,,,,,,,
PETER KUHN,Peter Kuhn,Male,,,,,,,,,,
CATHERINE WEINBERGER,Catherine Weinberger,Female,,,,,,,,,,
ALEX MAS,Alex Mas,Male,,,,,,,,,,
BARBARA PETRONGOLO,Barbara Petrongolo,Female,,,,,,,,,,
KRISTIN BUTCHER,Kristin Butcher,Female,,,,,,,,,,
YAEL HOCHBERG,Yael Hochberg,Female,,,,,,,,,,
JOHN DE FIGUEIRDO,John De Figueirdo,Male,,,,,,,,,,
JON WAINWRIGHT,Jon Wainwright,Male,,,,,,,,,,
W. BENTLEY MACLEOD,W. Bentley Macleod,Male,BENTLEY MACLEOD,,,,,,,,,
AARON EDLIN,Aaron Edlin,Male,,,,,,,,,,
RICHARD CRASWELL,Richard Craswell,Male,,,,,,,,,,
RICHARD HOLDEN,Richard Holden,Male,,,,,,,,,,
YASUTORA WATANABE,Yasutora Watanabe,Male,,,,,,,,,,
TODD KENDALL,Todd Kendall,Male,,,,,,,,,,
ROHAN PITCHFORD,Rohan Pitchford,Male,,,,,,,,,,
GILLIAN HADFIELD,Gillian Hadfield,Female,,,,,,,,,,
NICOLE PERSICO,Nicole Persico,Female,,,,,,,,,,
JOHN C. DRISCOLL,John C. Driscoll,Male,JOHN DRISCOLL,,,,,,,,,
PHILLIP KIRCHER,Phillip Kircher,Male,,,,,,,,,,
H. NAGARAJA,H. Nagaraja,Male,,,,,,,,,,
ESPEN MOEN,Espen Moen,Male,,,,,,,,,,
ALEKSANDER BERENTSEN,Aleksander Berentsen,Male,,,,,,,,,,
MIEN-YUN KUO,Mien-Yun Kuo,Female,,,,,,,,,,
ERIC SMITH,Eric Smith,Male,,,,,,,,,,
BALAZS SZENTES,Balazs Szentes,Male,,,,,,,,,,
KELLY RAGAN,Kelly Ragan,Female,,,,,,,,,,
JAVIER MIRANDA,Javier Miranda,Male,,,,,,,,,,
MELVYN COLES,Melvyn Coles,Male,,,,,,,,,,
CARLOS CARVALHO,Carlos Carvalho,Male,,,,,,,,,,
ERIC SIMS,Eric Sims,Male,,,,,,,,,,
ROBERT BARSKY,Robert Barsky,Male,,,,,,,,,,
WILLIAM TROOST,William Troost,Male,,,,,,,,,,
MARC GIANNONI,Marc Giannoni,Male,,,,,,,,,,
ILIAN MIHOV,Ilian Mihov,Male,,,,,,,,,,
TAREK HARCHAOUI,Tarek Harchaoui,Male,,,,,,,,,,
BAOLINE CHEN,Baoline Chen,Female,,,,,,,,,,
ROBERT YUSKAVAGE,Robert Yuskavage,Male,,,,,,,,,,
RANDALL KROSZNER,Randall Kroszner,Male,,,,,,,,,,
BARRY BOSWORTH,Barry Bosworth,Male,,,,,,,,,,
PAUL SCHREYER,Paul Schreyer,Male,,,,,,,,,,
DONALD SIEGEL,Donald Siegel,Male,,,,,,,,,,
DAVID PATON,David Paton,Male,,,,,,,,,,
LEIGHTON WILLIAMS,Leighton Williams,Male,,,,,,,,,,
THEODORE CRONE,Theodore Crone,Male,,,,,,,,,,
RICHARD VOITH,Richard Voith,Male,,,,,,,,,,
MICHAEL HORRIGAN,Michael Horrigan,Male,,,,,,,,,,
SUSAN COLLINS,Susan Collins,Female,,,,,,,,,,
ANDERS ISAKSSON,Anders Isaksson,Male,,,,,,,,,,
WEI CHI,Wei Chi,Female,,,,,,,,,,
MARK UBELHART,Mark Ubelhart,Male,,,,,,,,,,
SAMIR RAZA,Samir Raza,Male,,,,,,,,,,
ANDERS FREDERIKSEN,Anders Frederiksen,Male,,,,,,,,,,
GUIDO SCHWERDT,Guido Schwerdt,Male,,,,,,,,,,
RUDOLF WINTER-EBMER,Rudolf Winter-Ebmer,Male,,,,,,,,,,
JOSEF ZWEIMUÌˆLLER,Josef ZweimuÁ��ller,Male,Josef Zweimueller,,,,,,,,,
DEBDULAK MALLICK,Debdulak Mallick,Male,,,,,,,,,,
ZHENG LIU,Zheng Liu,Male,,,,,,,,,,
LOUIS PHANEUF,Louis Phaneuf,Male,,,,,,,,,,
ROBERT J. GORDON,Robert J. Gordon,Male,,,,,,,,,,
IAN DEW-BECKER,Ian Dew-Becker,Male,,,,,,,,,,
RUSSEL COOPER,Russel Cooper,Male,,,,,,,,,,
GARY MADDEN,Gary Madden,Male,,,,,,,,,,
ALESSANDRO SEMBENELLI,Alessandro Sembenelli,Male,,,,,,,,,,
LUIGI BENFRATELLO,Luigi Benfratello,Male,,,,,,,,,,
DEAN AMEL,Dean Amel,Male,,,,,,,,,,
RICHARD SULLIVAN,Richard Sullivan,Male,,,,,,,,,,
JOSEPH DEMASI,Joseph Demasi,Male,,,,,,,,,,
HENRY GRABOWSKI,Henry Grabowski,Male,,,,,,,,,,
CHRIS FORMAN,Chris Forman,Male,,,,,,,,,,
YINGJIN HILA GAN,Yingjin Hila Gan,Female,,,,,,,,,,
CHRIS DOWNING,Chris Downing,Male,,,,,,,,,,
DWIGHT JAFFE,Dwight Jaffe,Male,,,,,,,,,,
JOE GYOURKO,Joe Gyourko,Male,,,,,,,,,,
BYRON LUTZ,Byron Lutz,Male,,,,,,,,,,
MOHAMMAD ARZAGHI,Mohammad Arzaghi,Male,,,,,,,,,,
J. VERNON HENDERSON,J. Vernon Henderson,Male,VERNON HENDERSON,,,,,,,,,
ANDREA PRAT,Andrea Prat,Male,,,,,,,,,,
LEIGH LINDEN,Leigh Linden,Male,,,,,,,,,,
LEAH BROOKS,Leah Brooks,Female,,,,,,,,,,
NATHAN ANDERSON,Nathan Anderson,Male,,,,,,,,,,
ARVIND RAJAN,Arvind Rajan,Male,,,,,,,,,,
PIERRE COLLIN-DUFRESNE,Pierre Collin-Dufresne,Male,,,,,,,,,,
LIXIN HUANG,Lixin Huang,Male,,,,,,,,,,
ANDREAS ECKNER,Andreas Eckner,Male,,,,,,,,,,
CHRISTINA FONG,Christina Fong,Female,,,,,,,,,,
ROBYN DAWES,Robyn Dawes,Female,,,,,,,,,,
MICHAEL P. KEANE,Michael P. Keane,Male,MICHAEL KEANE,,,,,,,,,
DANIEL SILVERMAN,Daniel Silverman,Male,,,,,,,,,,
NICK ROUSSANOV,Nick Roussanov,Male,,,,,,,,,,
ATTILA AMBRUS,Attila Ambrus,Male,,,,,,,,,,
OLGA GORBACHEV,Olga Gorbachev,Female,,,,,,,,,,
KATHLEEN JOHNSON,Kathleen Johnson,Female,,,,,,,,,,
GENG LI,Geng Li,Male,,,,,,,,,,
DIMITRIOS CHRISTELIS,Dimitrios Christelis,Male,,,,,,,,,,
ANTHONY SMITH,Anthony Smith,Male,,,,,,,,,,
SHINTARO YAMAGUCHI,Shintaro Yamaguchi,Male,,,,,,,,,,
GALINA VERESHCHAGINA,Galina Vereshchagina,Female,,,,,,,,,,
CLAUDIO MICHAELACCI,Claudio Michaelacci,Male,,,,,,,,,,
ALESSANDRO BUCCIOL,Alessandro Bucciol,Male,,,,,,,,,,
SHIGERU FUJITA,Shigeru Fujita,Male,,,,,,,,,,
STEPHANE LHUILLERY,Stephane Lhuillery,Male,,,,,,,,,,
CLAUDIO LUCARELLI,Claudio Lucarelli,Male,,,,,,,,,,
ANDREW J. OSWALD,Andrew J. Oswald,Male,ANDREW OSWALD,,,,,,,,,
MARIAN V. WROBEL,Marian V. Wrobel,Female,,,,,,,,,,
JEFFREY R. KING,Jeffrey R. King,Male,,,,,,,,,,
ELDAR SHAFIR,Eldar Shafir,Male,,,,,,,,,,
LEE VERMEULEN,Lee Vermeulen,Male,,,,,,,,,,
NEALE MAHONEY,Neale Mahoney,Male,,,,,,,,,,
DEAN KARLAN,Dean Karlan,Male,,,,,,,,,,
JONATHAN ZINMAN,Jonathan Zinman,Male,,,,,,,,,,
DAN KESSLER,Dan Kessler,Male,,,,,,,,,,
JOHN COGAN,John Cogan,Male,,,,,,,,,,
ERZO F.P. LUTTMER,Erzo F.P. Luttmer,Male,ERZO LUTTMER,,,,,,,,,
GUILLAUME PLANTIN,Guillaume Plantin,Male,,,,,,,,,,
HYUN SONG SHIN,Hyun Song Shin,Male,,,,,,,,,,
JOSHUA COVAL,Joshua Coval,Male,,,,,,,,,,
HAO ZHOU,Hao Zhou,Male,,,,,,,,,,
GERARD HOBERG,Gerard Hoberg,Male,,,,,,,,,,
RALPH KOIJEN,Ralph Koijen,Male,,,,,,,,,,
OTTO VAN HEMERT,Otto Van Hemert,Male,,,,,,,,,,
ANDREA FRAZZINI,Andrea Frazzini,Male,,,,,,,,,,
LAUREN COHEN,Lauren Cohen,Female,,,,,,,,,,
DAVID BATES,David Bates,Male,,,,,,,,,,
MARK BROADIE,Mark Broadie,Male,,,,,,,,,,
KRISTOPHER GERARDI,Kristopher Gerardi,Male,,,,,,,,,,
HARVEY S. ROSEN,Harvey S. Rosen,Male,HARVEY ROSEN,,,,,,,,,
JOAO F. GOMES,Joao F. Gomes,Male,JOAO GOMES,,,,,,,,,
ALBERT MARCET,Albert Marcet,Male,,,,,,,,,,
ALEXIS ANAGNOSTOPOULOS,Alexis Anagnostopoulos,Male,,,,,,,,,,
ALEXANDER GUEMBEL,Alexander Guembel,Male,,,,,,,,,,
PAOLO FULGHIERI,Paolo Fulghieri,Male,,,,,,,,,,
TULLIO JAPPELLI,Tullio Jappelli,Male,,,,,,,,,,
MARCO PAGANO,Marco Pagano,Male,,,,,,,,,,
DAVID MARSHALL,David Marshall,Male,,,,,,,,,,
ALESSANDRA BONFIGLIOLI,Alessandra Bonfiglioli,Female,,,,,,,,,,
ANDY ABEL,Andy Abel,Male,,,,,,,,,,
QI CHEN,Qi Chen,Male,,,,,,,,,,
NOBU KIYOTAKI,Nobu Kiyotaki,Male,,,,,,,,,,
MORRIS DAVIS,Morris Davis,Male,,,,,,,,,,
STACEY CHEN,Stacey Chen,Female,,,,,,,,,,
AVI EBENSTEIN,Avi Ebenstein,Male,,,,,,,,,,
DAVID WEINER,David Weiner,Male,,,,,,,,,,
ALEX EDMANS,Alex Edmans,Male,,,,,,,,,,
KEN FROOT,Ken Froot,Male,,,,,,,,,,
JAMES A. READ,James A. Read,Male,,,,,,,,,,
ISIL EREL,Isil Erel,Female,,,,,,,,,,
VICTORIA IVASHINA,Victoria Ivashina,Female,,,,,,,,,,
ZHENG SUN,Zheng Sun,Female,,,,,,,,,,
MICHAEL GORDY,Michael Gordy,Male,,,,,,,,,,
MARK CAREY,Mark Carey,Male,,,,,,,,,,
HAYNE LELAND,Hayne Leland,Male,,,,,,,,,,
JIE YANG,Jie Yang,Female,,,,,,,,,,
JULES H. VAN BINSBERGEN,Jules H. Van Binsbergen,Male,,,,,,,,,,
AYAKO YASUDA,Ayako Yasuda,Female,,,,,,,,,,
JOHN G. MATSUSAKA,John G. Matsusaka,Male,,,,,,,,,,
OGUZHAN OZBAS,Oguzhan Ozbas,Male,,,,,,,,,,
RAN DUCHIN,Ran Duchin,Male,,,,,,,,,,
VALENTINA BRUNO,Valentina Bruno,Female,,,,,,,,,,
REENA AGGARWAL,Reena Aggarwal,Female,,,,,,,,,,
ROHAN WILLIAMSON,Rohan Williamson,Male,,,,,,,,,,
STIJN CLAESSENS,Stijn Claessens,Male,,,,,,,,,,
RENE M. STULZ,Rene M. Stulz,Male,René Stulz,René M. Stulz,RENE STULZ,,,,,,,
MARCO BECHT,Marco Becht,Male,,,,,,,,,,
KARL LINS,Karl Lins,Male,,,,,,,,,,
CHRISTIAN LEUZ,Christian Leuz,Male,,,,,,,,,,
FRANCIS E. WARNOCK,Francis E. Warnock,Male,,,,,,,,,,
ELENA CARLETTI,Elena Carletti,Female,,,,,,,,,,
ROBERT MARQUEZ,Robert Marquez,Male,,,,,,,,,,
ENRICHETTA RAVINA,Enrichetta Ravina,Female,,,,,,,,,,
KRIS JAMES MITCHENER,Kris James Mitchener,Male,KRIS MITCHENER,,,,,,,,,
MINDY MARKS,Mindy Marks,Female,,,,,,,,,,
RICHARD HORNBECK,Richard Hornbeck,Male,,,,,,,,,,
MIRIAM BRUHN,Miriam Bruhn,Female,,,,,,,,,,
ANNE MORRISON PIEHL,Anne Morrison Piehl,Female,ANNE PIEHL,,,,,,,,,
SHI-TSE LO,Shi-Tse Lo,Male,,,,,,,,,,
CHRISTOPHER KINGSTON,Christopher Kingston,Male,,,,,,,,,,
JESUS VIEJO,Jesus Viejo,Male,,,,,,,,,,
TOMAS CVRCEK,Tomas Cvrcek,Male,,,,,,,,,,
ALKA GANDHI,Alka Gandhi,Female,,,,,,,,,,
FABIAN LANGE,Fabian Lange,Male,,,,,,,,,,
KIRSTEN WANDSCHEIDER,Kirsten Wandscheider,Female,,,,,,,,,,
ANN CARLOS,Ann Carlos,Female,,,,,,,,,,
ANTONELLA TRIGARI,Antonella Trigari,Female,,,,,,,,,,
LUCA SALA,Luca Sala,Male,,,,,,,,,,
JACK FAVALUKIS,Jack Favalukis,Male,,,,,,,,,,
GUENTER COENEN,Guenter Coenen,Male,,,,,,,,,,
KAI CHRISTOFFEL,Kai Christoffel,Male,,,,,,,,,,
ANDERS WARNE,Anders Warne,Male,,,,,,,,,,
YURIY GORODNICHENKO,Yuriy Gorodnichenko,Male,,,,,,,,,,
SERENA NG,Serena Ng,Female,,,,,,,,,,
JOHANNA WALLENIUS,Johanna Wallenius,Female,,,,,,,,,,
JING HAN,Jing Han,Female,,,,,,,,,,
YI CHAN TSAI,Yi Chan Tsai,Male,,,,,,,,,,
Â  BENJAMIN JONES,Â  Benjamin Jones,Male,BENJAMIN JONES,,,,,,,,,
Â  FRANCESCO CASELLI,Â  Francesco Caselli,Male,FRANCESCO CASELLI,,,,,,,,,
ROC ARMENTER,Roc Armenter,Male,,,,,,,,,,
ANDREW CHARLTON,Andrew Charlton,Male,,,,,,,,,,
Â  RICHARD ROGERSON,Â  Richard Rogerson,Male,RICHARD ROGERSON,,,,,,,,,
Â  SAM KORTUM,Â  Sam Kortum,Male,SAM KORTUM,Samuel S. Kortum,,,,,,,,
ARVIDS ZIEDONIS,Arvids Ziedonis,Male,,,,,,,,,,
RICHARD JENSEN,Richard Jensen,Male,,,,,,,,,,
SHARON BELENZON,Sharon Belenzon,Female,,,,,,,,,,
JERRY THURSBY,Jerry Thursby,Male,,,,,,,,,,
CARLOS SERRANO,Carlos Serrano,Male,,,,,,,,,,
ERIC CHANEY,Eric Chaney,Male,,,,,,,,,,
BURKHARD PEDELL,Burkhard Pedell,Male,,,,,,,,,,
ERWANN MICHEL-KERJAN,Erwann Michel-Kerjan,Male,ERWANN O. MICHEL-KERJAN,,,,,,,,,
IOANA PETRESCU,Ioana Petrescu,Female,,,,,,,,,,
GARY HUFBAUER,Gary Hufbauer,Male,,,,,,,,,,
MATTHEW HANSON,Matthew Hanson,Male,,,,,,,,,,
MARTIN SCHMIDT,Martin Schmidt,Male,,,,,,,,,,
DAN AHN,Dan Ahn,Male,,,,,,,,,,
ESTEBAN KLOR,Esteban Klor,Male,,,,,,,,,,
HAROLD ZHANG,Harold Zhang,Male,,,,,,,,,,
ZHONGLAN DAI,Zhonglan Dai,Female,,,,,,,,,,
DANIEL FEENBERG,Daniel Feenberg,Male,,,,,,,,,,
DAVID ALBOUY,David Albouy,Male,,,,,,,,,,
FRANCISCO PEREZ,Francisco Perez,Male,,,,,,,,,,
FELIPE BARRERA,Felipe Barrera,Male,,,,,,,,,,
DOUGLAS N. HARRIS,Douglas N. Harris,Male,DOUGLAS HARRIS,,,,,,,,,
TIM SASS,Tim Sass,Male,,,,,,,,,,
JINHUA ZHAO,Jinhua Zhao,Male,,,,,,,,,,
LARRY KARP,Larry Karp,Male,,,,,,,,,,
DAVID DRUKKER,David Drukker,Male,,,,,,,,,,
GARTH HEUTEL,Garth Heutel,Male,,,,,,,,,,
ANDREAS LANGE,Andreas Lange,Male,,,,,,,,,,
MICHAEL HOEL,Michael Hoel,Male,,,,,,,,,,
SCOTT BARRETT,Scott Barrett,Male,,,,,,,,,,
AART DE ZEEUW,Aart De Zeeuw,Male,,,,,,,,,,
JUAN ANDRES ROBALINO,Juan Andres Robalino,Male,,,,,,,,,,
G. ARTURO SANCHEZ-AZOFEIFA,G. Arturo Sanchez-Azofeifa,Male,,,,,,,,,,
JOSHUA GRAFF-ZIVIN,Joshua Graff-Zivin,Male,,,,,,,,,,
JOE ALDY,Joe Aldy,Male,,,,,,,,,,
MEREDITH FOWLIE,Meredith Fowlie,Female,,,,,,,,,,
MOLLY LIPSCOMB,Molly Lipscomb,Female,,,,,,,,,,
STEVEN SHARPE,Steven Sharpe,Male,,,,,,,,,,
RAFFAELLA GIACOMINI,Raffaella Giacomini,Female,,,,,,,,,,
NOUR MEDDAHI,Nour Meddahi,Male,,,,,,,,,,
FRANK KLEIBERGEN,Frank Kleibergen,Male,,,,,,,,,,
PHILLIPE MUELLER,Phillipe Mueller,Male,,,,,,,,,,
ANNA MIKUSHEVA,Anna Mikusheva,Female,,,,,,,,,,
DAVID RODRIGUEZ,David Rodriguez,Male,,,,,,,,,,
MARC TURENNE,Marc Turenne,Male,,,,,,,,,,
JACK WHEELER,Jack Wheeler,Male,,,,,,,,,,
RICHARD HIRTH,Richard Hirth,Male,,,,,,,,,,
QING PAN,Qing Pan,Female,,,,,,,,,,
JOSEPH MESSANA,Joseph Messana,Male,,,,,,,,,,
JOHN A. ROMLEY,John A. Romley,Male,JOHN ROMLEY,,,,,,,,,
KYNA FONG,Kyna Fong,Female,,,,,,,,,,
MARCUS GOLDSTEIN,Marcus Goldstein,Male,,,,,,,,,,
HARSHA THIRUMURTHY,Harsha Thirumurthy,Male,,,,,,,,,,
JAMES HABYARIMANA,James Habyarimana,Male,,,,,,,,,,
JAMES BERRY,James Berry,Male,,,,,,,,,,
NAVA ASHRAF,Nava Ashraf,Female,,,,,,,,,,
SETH SEABURY,Seth Seabury,Male,,,,,,,,,,
PIERO CIPOLLONE,Piero Cipollone,Male,,,,,,,,,,
ALFONSO ROSOLIA,Alfonso Rosolia,Male,,,,,,,,,,
DEBORA RADICCHIA,Debora Radicchia,Female,,,,,,,,,,
JASON FLETCHER,Jason Fletcher,Male,,,,,,,,,,
RAFFAELLA SADUN,Raffaella Sadun,Female,,,,,,,,,,
ANTONELLA TRIGAR,Antonella Trigar,Female,,,,,,,,,,
JEAN-PASCAL BENASSY,Jean-Pascal Benassy,Male,,,,,,,,,,
RANDY WRIGHT,Randy Wright,Male,,,,,,,,,,
LUCA GAMBETTI,Luca Gambetti,Male,,,,,,,,,,
ALESSANDRO PAVAN,Alessandro Pavan,Male,,,,,,,,,,
SYLVAIN LEDUC,Sylvain Leduc,Male,,,,,,,,,,
DAVIDE TICCHI,Davide Ticchi,Male,,,,,,,,,,
MALHAR NABAR,Malhar Nabar,Male,,,,,,,,,,
MICHAL JERZMANOWSKI,Michal Jerzmanowski,Male,,,,,,,,,,
GIOVANNI TONON,Giovanni Tonon,Male,,,,,,,,,,
PAOLA GIULIANO,Paola Giuliano,Female,,,,,,,,,,
LOUIS PUTTERMAN,Louis Putterman,Male,,,,,,,,,,
JOANA NARITOMI,Joana Naritomi,Female,,,,,,,,,,
ZHENG SONG,Zheng Song,Male,,,,,,,,,,
STELIOS MICHALOPOULOS,Stelios Michalopoulos,Male,,,,,,,,,,
NICHOLAS WILSON,Nicholas Wilson,Male,,,,,,,,,,
ERICK GONG,Erick Gong,Male,,,,,,,,,,
PHIL HAILE,Phil Haile,Male,,,,,,,,,,
JOSHUA GANS,Joshua Gans,Male,,,,,,,,,,
ALBERTO SALVO,Alberto Salvo,Male,,,,,,,,,,
PHILLIP LESLIE,Phillip Leslie,Male,,,,,,,,,,
MIKE WHINSTON,Mike Whinston,Male,,,,,,,,,,
CHENGHUAN SEAN CHU,Chenghuan Sean Chu,Male,,,,,,,,,,
RYAN KELLOGG,Ryan Kellogg,Male,,,,,,,,,,
MEGHAN BUSEE,Meghan Busee,Female,,,,,,,,,,
FRANCINE LAFONTAINE,Francine Lafontaine,Female,,,,,,,,,,
RICARD GIL,Ricard Gil,Male,,,,,,,,,,
JUDY CHEVALIER,Judy Chevalier,Female,,,,,,,,,,
MICHAEL KATZ,Michael Katz,Male,Michael Katz,,,,,,,,,
JONATHAN B. BAKER,Jonathan B. Baker,Male,Jonathan Baker,,,,,,,,,
MICHAEL E. PORTER,Michael E. Porter,Male,MICHAEL PORTER,,,,,,,,,
MATTHEW KAHN,Matthew Kahn,Male,MATTHEW KAHN,,,,,,,,,
MERCEDES DELGADO,Mercedes Delgado,Female,,,,,,,,,,
ALBERT SAIZ,Albert Saiz,Male,,,,,,,,,,
JEFFREY LIN,Jeffrey Lin,Male,,,,,,,,,,
BEN JONES,Ben Jones,Male,Â  BEN JONES,,,,,,,,,
SCOTT STERN,Scott Stern,Male,Â  SCOTT STERN,,,,,,,,,
STEPHEN HABER,Stephen Haber,Male,,,,,,,,,,
WILLIAM MALONEY,William Maloney,Male,,,,,,,,,,
ROBERT ALVAREZ,Robert Alvarez,Male,,,,,,,,,,
REBECCA HELLERSTEIN,Rebecca Hellerstein,Female,,,,,,,,,,
PATRICK KEHOE,Patrick Kehoe,Male,,,,,,,,,,
VIRGILIU MIDRIGAN,Virgiliu Midrigan,Male,,,,,,,,,,
AART KRAAY,Aart Kraay,Male,,,,,,,,,,
DIETZ VOLLRATH,Dietz Vollrath,Male,,,,,,,,,,
ANDREI LEVCHENKO,Andrei Levchenko,Male,,,,,,,,,,
INDRIT HOXHA,Indrit Hoxha,Male,,,,,,,,,,
MARIA GIDUSKOVA,Maria Giduskova,Female,,,,,,,,,,
SIRSHA CHATTERJEE,Sirsha Chatterjee,Female,,,,,,,,,,
FRANK WARNOCK,Frank Warnock,Male,,,,,,,,,,
JOSEPH GAGNON,Joseph Gagnon,Male,,,,,,,,,,
PETER NEARY,Peter Neary,Male,,,,,,,,,,
DENNIS NOVY,Dennis Novy,Male,,,,,,,,,,
HALE UTAR,Hale Utar,Female,,,,,,,,,,
COSTAS ARKOLAKIS,Costas Arkolakis,Male,,,,,,,,,,
PAULA BUSTOS,Paula Bustos,Female,,,,,,,,,,
NATALIA RAMONDO,Natalia Ramondo,Female,,,,,,,,,,
HOLGER BREINLICH,Holger Breinlich,Male,,,,,,,,,,
BRUCE BLONIGEN,Bruce Blonigen,Male,,,,,,,,,,
BERNARDO BLUM,Bernardo Blum,Male,,,,,,,,,,
IGNATIUS HORSTMANN,Ignatius Horstmann,Male,,,,,,,,,,
CECILIA ROUSE,Cecilia Rouse,Female,,,,,,,,,,
SERGIO FIRPO,Sergio Firpo,Male,,,,,,,,,,
PAUL NIEHAUS,Paul Niehaus,Male,,,,,,,,,,
MURIEL NIEDERLE,Muriel Niederle,Female,,,,,,,,,,
TANYA ROSENBLATT,Tanya Rosenblatt,Female,,,,,,,,,,
BEKEZELA MBAKILE,Bekezela Mbakile,Unknown,,,,,,,,,,
RAY HERSCHMAN,Ray Herschman,Male,,,,,,,,,,
MARK VOTRUBA,Mark Votruba,Male,,,,,,,,,,
RANDALL CEBUL,Randall Cebul,Male,,,,,,,,,,
FEDERICO CIGNANO,Federico Cignano,Male,,,,,,,,,,
IMRAN RASUL,Imran Rasul,Male,,,,,,,,,,
IWAN BARANKAY,Iwan Barankay,Male,,,,,,,,,,
ORIANA BANDIERA,Oriana Bandiera,Female,,,,,,,,,,
JIALAN WANG,Jialan Wang,Female,,,,,,,,,,
MARK ROSENZWEIG,Mark Rosenzweig,Male,,,,,,,,,,
STEFANO DELLA VIGNA,Stefano Della Vigna,Male,STEFANO DELLAVIGNA,,,,,,,,,
VIKRAM PANTHANIA,Vikram Panthania,Male,,,,,,,,,,
TIMOTHY SASS,Timothy Sass,Male,,,,,,,,,,
MARK KLEBANOV,Mark Klebanov,Male,,,,,,,,,,
JOSHUA FISCHMAN,Joshua Fischman,Male,,,,,,,,,,
M. KEITH CHEN,M. Keith Chen,Male,,,,,,,,,,
YAIR LISTOKEN,Yair Listoken,Male,,,,,,,,,,
BERT HUANG,Bert Huang,Male,,,,,,,,,,
XIMENA PENA,Ximena Pena,Female,,,,,,,,,,
FABIEN POSTEL-VINAY,Fabien Postel-Vinay,Male,,,,,,,,,,
HYEOK JEONG,Hyeok Jeong,Male,,,,,,,,,,
YONG KIM,Yong Kim,Male,,,,,,,,,,
LIMOR GOLAN,Limor Golan,Female,,,,,,,,,,
GEORGE-LEVI GAYLE,George-Levi Gayle,Male,,,,,,,,,,
AXEL ANDERSON,Axel Anderson,Male,,,,,,,,,,
REMZI KAYGUSUZ,Remzi Kaygusuz,Male,,,,,,,,,,
MARCUS SONTAG,Marcus Sontag,Male,,,,,,,,,,
THIJS VAN RENS,Thijs Van Rens,Male,,,,,,,,,,
BJORN BRUGEMANN,Bjorn Brugemann,Male,,,,,,,,,,
ADAM POSEN,Adam Posen,Male,,,,,,,,,,
PAOLO SURICO,Paolo Surico,Male,,,,,,,,,,
EDWARD MORGAN,Edward Morgan,Male,,,,,,,,,,
