author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4,,
Connan Snider,Market Power or Product Quality: A Regression Discontinuity Approach to Understanding the Hub Premium,University of California-Los Angeles,Jan 08 2011,8:00 AM,"Sheraton, Plaza Court 2",Econometric Society,Empirical IO 1,L0,Harry Paarsch,University of Melbourne,Yu-Wei Hsieh,New York University,Harry J. Paarsch,University of Melbourne,Alfred Galichon,Ecole Polytechnique,Connan Andrew Snider,University of California-Los Angeles,,,Connan Snider,Male,,,,,,NA,NA,NA,NA,NA,,
Corbett Grainger,The Value of Secure Property Rights: Global Evidence from Fisheries,University of Wisconsin,Jan 09 2011,8:00 AM,"Hyatt Regency, Capitol 6",Association of Environmental & Resource Economists,Environmental Policy Evaluation,Q5,Matthew Kotchen,Yale University,Jaren Pope,Brigham Young University,Matthew Kotchen,Yale University,Nirupama Rao,New York University,Martin Smith,Duke University,,,Corbett Grainger,Male,,,,,,NA,NA,NA,NA,NA,,
Cory Capps,Antitrust Treatment of Nonprofits: Should Hospitals Receive Special Care?,"Bates White, LLC",Jan 08 2011,8:00 AM,"Hyatt Regency, Capitol 7",Health Economics Research Organization,Are For-Profit Healthcare Providers and Payers Different? Recent Research and Policy Implications,I1,Mark G. Duggan,University of Maryland,Jill Horwitz,University of Michigan,Martin Gaynor,Carnegie Mellon University,Mireille Jacobson,RAND Corporation,,,,,CORY CAPPS,Male,,,,,,NA,NA,NA,NA,NA,,
Costas Arkolakis,"New Trade Models, Same Old Gains?",Yale University,Jan 09 2011,8:00 AM,"Sheraton, Columbine",American Economic Association,Welfare Gains from Trade,F1,Costas Arkolakis,Yale University,Karem Cosar,University of Chicago,Stefania Garetto,Boston University,Kathreen Russ,University of California-Davis,Ariel Burstein,University of California-Los Angeles,,,COSTAS ARKOLAKIS,Male,,,,,,NA,NA,NA,NA,NA,,
Costas Meghir,"Maternal Education, Home Environments and the Development of Children and Adolescents",University College London,Jan 07 2011,10:15 AM,"Sheraton, Vail",American Economic Association,Household Behavior and Child Outcomes,D1,Mark Rosenzweig,Yale University,Wilbert van der Klaauw,Federal Reserve Bank of New York,Robert Sauer,University of Bristol,John Ham,University of Maryland,,,,,COSTAS MEGHIR,Male,,,,,,NA,NA,NA,NA,NA,,
Courtney Coile,"Recessions, Retirement, and Social Security",Wellesley College,Jan 07 2011,8:00 AM,"Sheraton, Governor's Square 12",American Economic Association,Recessions and Retirement,J2,Scott Weisbenner,University of Illinois,Colleen Flaherty Manchester,University of Minnesota,Scott Weisbenner,University of Illinois,Jon M. Bakija,Williams College,Purvi Sevak,Hunter College,,,COURTNEY COILE,Female,,,,,,NA,NA,NA,NA,NA,,
Craig Garthwaite,The Doctor Might See You Now: The Supply Side Effects of Public Health Insurance Expansions,Northwestern University,Jan 07 2011,2:30 PM,"Hyatt Regency, Capitol 7",Health Economics Research Organization,Research in Medicaid/Children's Health Insurance Program (CHIP),I1,Anthony Losasso,University of Illinois-Chicago,Thomas DeLeire,University of Wisconsin,Matthew Neidell,Columbia University,John Cawley,Cornell University,,,,,Craig Garthwaite,Male,,,,,,NA,NA,NA,NA,NA,,
Cristina Arellano,Internal Debt Crises and Sovereign Defaults,University of Minnesota,Jan 07 2011,10:15 AM,"Sheraton, Majestic Ballroom",American Economic Association,Sovereign Credit Risk,E6,Viral Acharya,New York University,Olivier Jeanne,Johns Hopkins University,Luigi Zingales,University of Chicago,Juan Carlos Hatchondo,Federal Reserve Bank of Richmond,,,,,CRISTINA ARELLANO,Female,,,,,,NA,NA,NA,NA,NA,,
Cristina Cella,Investors' Horizons and the Amplification of Market Shocks,Indiana University,Jan 08 2011,2:30 PM,"Sheraton, Spruce",American Economic Association,Financial Market Reactions to News,G1,Douglas Pearce,North Carolina State University,,,,,,,,,,,CRISTINA CELLA,Female,,,,,,NA,NA,NA,NA,NA,,
Crocker Liu,The Relationship between Tenant Quality and REIT Risk & Performance,Cornell University,Jan 07 2011,12:30 PM,"Marriott, Denver Suite IV",American Real Estate & Urban Economic Association,REITs: Investment,G1,Jim Clayton,Cornerstone Real Estate Advisers,Richard Buttimer,University of North Carolina-Charlotte,Cristian Tiu,University of Buffalo,Vaneesha Boney,University of Denver,Jim Clayton,Cornerstone Real Estate Advisers,,,Crocker Liu,Male,,,,,,NA,NA,NA,NA,NA,,
Crocker Liu,Investment Opportunities and Share Repurchases,Cornell University,Jan 07 2011,10:15 AM,"Marriott, Denver Suite V & VI",American Real Estate & Urban Economic Association,REITs: Corporate Finance,G3,Piet Eichholtz,Maastricht University,Erasmo Giambona,University of Amsterdam,Dirk Brounen,Erasmus University,Piet Eichholtz,Maastricht University,Thies Lindenthal,Maastricht University,,,Crocker Liu,Male,,,,,,NA,NA,NA,NA,NA,,
Cyril Monnet,Banking: A Mechanism Design Approach,Federal Reserve Bank of Philadelphia,Jan 07 2011,2:30 PM,"Sheraton, Governor's Square 9",Econometric Society,The Role of Money and Banks,E5,,,Ruilin Zhou,Pennsylvania State University,David Andolfatto,Federal Reserve Bank of St. Louis,Warren Weber,Federal Reserve Bank of Minneapolis,Daniel Paravisini,Columbia University,,,CYRIL MONNET,Male,,,,,,NA,NA,NA,NA,NA,,
Dalida Kadyrzhanova,Spillover Effects in the Market for Corporate Control,University of Maryland,Jan 08 2011,2:30 PM,"Marriott, Nat Hill",Association of Financial Economists,Industry Peers and Corporate Finance,G3,Lemma Senbet,University of Maryland,Ethan Cohen-Cole,University of Maryland,Michael Lemmon,University of Utah,Abraham S. Ravid,Rutgers University,,,,,DALIDA KADYRZHANOVA,Female,,,,,,NA,NA,NA,NA,NA,,
Dallas Burtraw,Robust Instrument Choice when Environmental Regulations Spill Over,Resources for the Future,Jan 09 2011,10:15 AM,"Hyatt Regency, Capitol 6",Association of Environmental & Resource Economists,Theory of Environmental Policy,Q5,Jason Shogren,University of Wyoming,Hilary Sigman,Rutgers University,Ryan Kellogg,University of Michigan,Jason Shogren,University of Wyoming,Corbett Grainger,University of Wisconsin,Linda Nostbakken,University of Alberta,DALLAS BURTRAW,Male,,,,,,NA,NA,NA,NA,NA,,
Dalton Conley,The War at Home: Effects of Vietnam-Era Military Service on Post-War Household and Family Formation and Stability,New York University,Jan 07 2011,10:15 AM,"Sheraton, Director's Row E",American Economic Association,Causal Effects of Vietnam-Era Military Service on Health and Welfare,I1,Charlie Brown,University of Michigan,Daniel Eisenberg,University of Michigan,Joseph Doyle,Massachusetts Institute of Technology,Abigail Wozniak,University of Notre Dame,Chris Rohlfs,Syracuse University,,,DALTON CONLEY,Male,,,,,,NA,NA,NA,NA,NA,,
Dan Silverman,Sources of Time Preference and Time-Inconsistency: Evidence from the Field,University of Michigan,Jan 07 2011,2:30 PM,"Sheraton, Savoy",American Economic Association,Savings Experiments in Developing Countries,O1,Dean Yang,University of Michigan,Kartini Shastry,Wellesley College,James Andreoni,University of California-San Diego,Santhosh Anagol,University of Pennsylvania,Nava Ashraf,Harvard Business School,,,DAN SILVERMAN,Male,,,,,,NA,NA,NA,NA,NA,,
Dana Goldman,Nonparametric IV Analysis of the Health Effects of Pharmaceuticals,University of Southern California,Jan 08 2011,10:15 AM,"Sheraton, Plaza Court 7",Econometric Society,Empirical Methods in Health Economics,I1,Eric French,Federal Reserve Bank of Chicago,Fabian Lange,Yale University,Tobias Johannes Klein,Tilburg University,Eric Baird French,Federal Reserve Bank of Chicago,John Romley,RAND,,,DANA GOLDMAN,Male,,,,,,NA,NA,NA,NA,NA,,
Dana Goldman,Part D Formulary and Benefit Design as a Risk-Steering Mechanism?,University of Southern California,Jan 07 2011,2:30 PM,"Sheraton, Governor's Square 17",American Economic Association,The Economics of the Medicare Part D Prescription Drug Program,I1,Jonathan Gruber,Massachusetts Institute of Technology,David Laibson,Harvard University,Claudio Lucarelli,Cornell University,Wesley Yin,Boston University,Marty Gaynor,Carnegie Mellon University,,,DANA GOLDMAN,Male,,,,,,NA,NA,NA,NA,NA,,
Daniel Berkowitz,The Emergence of Bank-Issued Credit in Russia: An Empirical Characterization,University of Pittsburgh,Jan 08 2011,2:30 PM,"Hyatt Regency, Mineral Hall F",Association for Comparative Economic Studies,Law and Development in China and Russia,P2,John Bonin,Wesleyan University,Peter Murrell,University of Maryland,Loren Brandt,University of Toronto,,,,,,,DANIEL BERKOWITZ,Male,,,,,,NA,NA,NA,NA,NA,,
Daniel Chen,The Economic Impacts of Eminent Domain,University of Chicago,Jan 07 2011,2:30 PM,"Marriott, Denver Suite I & II",American Real Estate & Urban Economic Association,Law and Government,K2,Lynn Fisher,University of North Carolina,William Wheaton,Massachusetts Institute of Technology,Geoffrey Turnbull,Georgia State University,Morris Davis,University of Wisconsin,William C. Strange,University of Toronto,,,DANIEL CHEN,Male,,,,,,NA,NA,NA,NA,NA,,
Daniel Levy,Shrinking Goods and Sticky Prices: Theory and Evidence,"Bar-Ilan University, Emory University, and RCEA",Jan 07 2011,8:00 AM,"Sheraton, Savoy",American Economic Association,Price Dynamics and Price Rigidity,E3,John Leahy,New York University,Avichai Snir,Bar-Ilan University and Humboldt University,Jonathan Willis,Federal Reserve Bank of Kansas City,Edward S Knotek II,Federal Reserve Bank of Kansas City,Oleksiy Kryvtsov,Bank of Canada,,,DANIEL LEVY,Male,,,,,,NA,NA,NA,NA,NA,,
Daniel Quint,Nonparametric Testing and Identification in Ascending Auctions with Unobserved Heterogeneity,University of Wisconsin,Jan 08 2011,2:30 PM,"Sheraton, Governor's Square 9",Industrial Organization Society,Heterogeneity in Auctions,L2,Jeremy Fox,University of Michigan,Harry J. Paarsch,University of Melbourne,Francesco Decarolis,University of Wisconsin,Jimmy Roberts,,Daniel Quint,University of Wisconsin,,,DANIEL QUINT,Male,,,,,,NA,NA,NA,NA,NA,,
Daniel Quint,Nonparametric Testing and Identification in Ascending Auctions with Unobserved Heterogeneity,University of Wisconsin,Jan 09 2011,10:15 AM,"Sheraton, Plaza Court 2",Econometric Society,Econometric Methods in Industrial Organization,L1,Daniel Quint,University of Wisconsin-Madison,Han Hong,Stanford University,James W. Roberts,Duke University,Matthew Shum,CalTech,,,,,DANIEL QUINT,Male,,,,,,NA,NA,NA,NA,NA,,
Daniel Quint,Identification and Testing in Ascending Auctions with Unobserved Heterogeneity,University of Wisconsin,Jan 09 2011,8:00 AM,"Sheraton, Spruce",American Economic Association,Game Theory and Auctions,C7,Artie Zillante,University of North Carolina-Charlotte,,,,,,,,,,,DANIEL QUINT,Male,,,,,,NA,NA,NA,NA,NA,,
Daria Taglioni,Gravity for Value Chains,European Central Bank,Jan 09 2011,8:00 AM,"Sheraton, Governor's Square 16",American Economic Association,Global Trade Dynamics in an Integrated World,F1,Jonathan Eaton,New York University,Andres Rodriguez-Clare,Pennsylvania State University,Steven J. Matusz,Michigan State University,Leonardo Iacovone,World Bank,David Hummels,Purdue University,,,DARIA TAGLIONI,Female,,,,,,NA,NA,NA,NA,NA,,
Daria Taglioni,Protectionist Responses to the Crisis,European Central Bank,Jan 09 2011,10:15 AM,"Sheraton, Governor's Square 11",American Economic Association,Prospects for the Global Trading System,F1,Bernard Hoekman,World Bank,Peter Neary,Oxford University,Ann Harrison,Columbia Business School,Patrick Low,World Trade Organization,Bernard Hoekman,World Bank,,,DARIA TAGLIONI,Female,,,,,,NA,NA,NA,NA,NA,,
Daron Acemoglu,"Innovation, Reallocation and Growth",Massachusetts Institute of Technology,Jan 08 2011,10:15 AM,"Sheraton, Governor's Square 12",American Economic Association,Empirics of Growth,O4,Daron Acemoglu,Massachusetts Institute of Technology,,,,,,,,,,,DARON ACEMOGLU,Male,"DARON ACEMOGLU,",,,,,NA,NA,NA,NA,NA,,
Daron Acemoglu,The Environment and Directed Technical Change,Massachusetts Institute of Technology,Jan 08 2011,2:30 PM,"Sheraton, Governor's Square 16",American Economic Association,Technological Innovation to Tackle Climate Change,O3,Nicholas Stern,London School of Economics,Nick Stern,London School of Economics,Mike Greenstone,Massachusetts Institute of Technology,Daron Acemoglu,Massachusetts Institute of Technology,Robin Burgess,London School of Economics,,,DARON ACEMOGLU,Male,"DARON ACEMOGLU,",,,,,NA,NA,NA,NA,NA,,
Daron Acemoglu,"Intellectual Property Rights Policy, Competition and Innovation",Massachusetts Institute of Technology,Jan 07 2011,12:30 PM,"Sheraton, Governor's Square 12",American Economic Association,European Economic Association Lecture,O3,Stefano DellaVigna,University of California-Berkeley,,,,,,,,,,,DARON ACEMOGLU,Male,"DARON ACEMOGLU,",,,,,NA,NA,NA,NA,NA,,
Daron Acemoglu,Social Structure and Development: A Legacy of the Holocaust in Russia,Massachusetts Institute of Technology,Jan 09 2011,10:15 AM,"Sheraton, Plaza Court 3",American Economic Association,Social Structure,O1,Bruce Sacerdote,Dartmouth College,,,,,,,,,,,DARON ACEMOGLU,Male,"DARON ACEMOGLU,",,,,,NA,NA,NA,NA,NA,,
Daron Acemoglu,A Political Theory of Populism,Massachusetts Institute of Technology,Jan 09 2011,8:00 AM,"Sheraton, Plaza Court 2",Econometric Society,"Contract Theory, Political Economy",D7,Stelios Michalopoulos,Tufts University,John Hatfield,Stanford University,Andrew F. Newman,Boston University and CEPR,Stelios Michalopoulos,Tufts University,Konstantin Sonin,New Economic School,,,DARON ACEMOGLU,Male,"DARON ACEMOGLU,",,,,,NA,NA,NA,NA,NA,,
Daron Acemoglu,The Monopoly of Violence: Evidence from Colombia,Massachusetts Institute of Technology,Jan 07 2011,2:30 PM,"Hyatt Regency, Granite B",Peace Science Society International,The Economics of Violence,F5,Carlos Seiglie,Rutgers University,Ronald Wintrobe,University of Western Ontario,Solomon W. Polachek,SUNY-Binghamton,,,,,,,DARON ACEMOGLU,Male,"DARON ACEMOGLU,",,,,,NA,NA,NA,NA,NA,,
Darrell Duffie,Information Percolation in Segmented Markets,Stanford University and NBER,Jan 07 2011,10:15 AM,"Sheraton, Plaza Court 2",Econometric Society,Slow-Moving Capital,G1,Nicolae Garleanu,University of California-Berkeley,Dimitri Vayanos,London School of Economics,Vish Viswanathan,Duke University,Pierre-Olivier Weill,University of California-Los Angeles,Marzena Joanna Rostek,University of Wisconsin-Madison,,,DARRELL DUFFIE,Male,,,,,,NA,NA,NA,NA,NA,,
Darwin Choi,The Self-Serving Attribution Bias: How Mutual Fund Managers Become Overconfident and Subsequently Underperform,Hong Kong University of Science and Technology,Jan 08 2011,8:00 AM,"Marriott, Colorado Salons G & H",American Finance Association,Mutual Funds and Hedge Funds Managers' Behavior,G1,Andrea Frazzini,"AQR Capital Management, LLC",Brad Barber,"University of California, Davis",Simon Gervais,Duke University,Zhinguo He,University of Chicago,Roni Kisin,"Washington University, St. Louis",,,Darwin Choi,Male,,,,,,NA,NA,NA,NA,NA,,
David Albouy,Evaluating the Efficiency and Equity of Federal Fiscal Equalization,University of Michigan,Jan 09 2011,10:15 AM,"Marriott, Denver Suite IV, V & VI",American Real Estate & Urban Economic Association,Macro Housing,E3,François Ortalo-Magné,University of Wisconsin,Charles Leung,City University of Hong Kong,John Elder,Colorado State University,Yongqiang Chu,University of South Carolina,Erwan Quintin,University of Wisconsin,,,DAVID ALBOUY,Male,,,,,,NA,NA,NA,NA,NA,,
David Albouy,Optimal City Size and the Private-Social Wedge,University of Michigan,Jan 07 2011,8:00 AM,"Marriott, Denver Suite I & II",American Real Estate & Urban Economic Association,City Size and Land Development,R2,William Wheaton,Massachusetts Institute of Technology,William Wheaton,Massachusetts Institute of Technology,Lynn Fisher,University of North Carolina,Walter Torous,University of California-Los Angeles,Matt Turner,University of Toronto,,,DAVID ALBOUY,Male,,,,,,NA,NA,NA,NA,NA,,
David Autor,PTSD Among Vietnam Veterans,Massachusetts Institute of Technology,Jan 07 2011,10:15 AM,"Sheraton, Director's Row E",American Economic Association,Causal Effects of Vietnam-Era Military Service on Health and Welfare,I1,Charlie Brown,University of Michigan,Daniel Eisenberg,University of Michigan,Joseph Doyle,Massachusetts Institute of Technology,Abigail Wozniak,University of Notre Dame,Chris Rohlfs,Syracuse University,,,DAVID AUTOR,Male,,,,,,NA,NA,NA,NA,NA,,
David Autor,The Changing Comparative (Dis-)Advantage of Males in Industrialized Economies,Massachusetts Institute of Technology,Jan 09 2011,10:15 AM,"Sheraton, Governor's Square 16",American Economic Association,The Economics of Cognitive and Non-cognitive Skills,J2,James Heckman,University of Chicago,Frank Levy,Massachusetts Institute of Technology,Deborah Cobb-Clark,Australian National University,,,,,,,DAVID AUTOR,Male,,,,,,NA,NA,NA,NA,NA,,
David Becker,Inspection Design and Inspector Performance,University of Alabama-Birmingham,Jan 07 2011,10:15 AM,"Sheraton, Gold",American Economic Association,Design and Incentive Effects of Certification and Disclosure Programs,L5,Silke Forbes,University of California-San Diego,Mara Lederman,University of Toronto,Severin Borenstein,University of California-Berkeley,Silke Januszewski Forbes,University of California-Berkeley,Ken Corts,University of Toronto,,,DAVID BECKER,Male,,,,,,NA,NA,NA,NA,NA,,
David Card,Origins of the Unemployment Rate,University of California-Berkeley,Jan 09 2011,8:00 AM,"Sheraton, Governor's Square 14",American Economic Association,How Economic Measurement Was Invented,C4,James Heckman,University of Chicago,Peter Temin,Massachusetts Institute of Technology,Robert Hall,Stanford University,Robert A. Pollak,Washington University-St. Louis,,,,,DAVID CARD,Male,,,,,,NA,NA,NA,NA,NA,,
David Card,Field Experiments: Where Did the Theory Go?,University of California-Berkeley,Jan 08 2011,8:00 AM,"Sheraton, Plaza Court 3",Econometric Society,"Field Experiments in Economics: The Theory, The Firm, and The Policymaker",C9,John List,University of Chicago,David H. Autor,Massachusetts Institute of Technology,Nava Ashraf,Harvard Business School,Stephan Meier,Columbia University,,,,,DAVID CARD,Male,,,,,,NA,NA,NA,NA,NA,,
David Evans,Robust Instrument Choice when Environmental Regulations Spill Over,US Environmental Protection Agency,Jan 09 2011,10:15 AM,"Hyatt Regency, Capitol 6",Association of Environmental & Resource Economists,Theory of Environmental Policy,Q5,Jason Shogren,University of Wyoming,Hilary Sigman,Rutgers University,Ryan Kellogg,University of Michigan,Jason Shogren,University of Wyoming,Corbett Grainger,University of Wisconsin,Linda Nostbakken,University of Alberta,DAVID EVANS,Male,,,,,,NA,NA,NA,NA,NA,,
David Frisvold,Do Physical Education Requirements Influence Childhood Obesity and Student Achievement?,Emory University,Jan 07 2011,10:15 AM,"Sheraton, Director's Row I",American Economic Association,Youth Health Conditions,I1,Charles Courtemanche,University of North Carolina-Greensboro,,,,,,,,,,,DAVID FRISVOLD,Male,,,,,,NA,NA,NA,NA,NA,,
David Harrington,Regulating Direct Cremations: The Cost of Tweaking Licensing Regulations,Kenyon College,Jan 09 2011,1:00 PM,"Sheraton, Governor's Square 10",American Economic Association,Professional Licensing,L5,Morris Kleiner,University of Minnesota and NBER,Charles Wheelan,University of Chicago,Marc Law,University of Vermont,Mindy Marks,University of California-Riverside,Daniela Del Boca,University of Turin and Collegio Carlo Alberto,,,DAVID HARRINGTON,Male,,,,,,NA,NA,NA,NA,NA,,
David Hemous,"Carbon taxes, Path Dependency and Directed Technical Change: Evidence from the Auto Industry",Harvard University,Jan 08 2011,2:30 PM,"Sheraton, Governor's Square 16",American Economic Association,Technological Innovation to Tackle Climate Change,O3,Nicholas Stern,London School of Economics,Nick Stern,London School of Economics,Mike Greenstone,Massachusetts Institute of Technology,Daron Acemoglu,Massachusetts Institute of Technology,Robin Burgess,London School of Economics,,,DAVID HEMOUS,Male,,,,,,NA,NA,NA,NA,NA,,
David Hemous,The Environment and Directed Technical Change,Harvard University,Jan 08 2011,2:30 PM,"Sheraton, Governor's Square 16",American Economic Association,Technological Innovation to Tackle Climate Change,O3,Nicholas Stern,London School of Economics,Nick Stern,London School of Economics,Mike Greenstone,Massachusetts Institute of Technology,Daron Acemoglu,Massachusetts Institute of Technology,Robin Burgess,London School of Economics,,,DAVID HEMOUS,Male,,,,,,NA,NA,NA,NA,NA,,
David Hummels,Trade Growth and Its Effect on Greenhouse Gas Emissions from International Transport,Purdue University,Jan 08 2011,10:15 AM,"Sheraton, Biltmore",Transportation & Public Utilities Group/American Economic Association,Recent Developments in Transportation,L9,Wesley Wilson,University of Oregon,Bruce A. Blonigen,University of Oregon and NBER,Clifford Winston,Brookings Institution,James Peoples,University of Wisconsin-Milwaukee,Jeffrey Cohen,University of Hartford,,,DAVID HUMMELS,Male,,,,,,NA,NA,NA,NA,NA,,
David Jaeger,Wine Retail Price Dispersion in the United States,CUNY Graduate Center and University of Cologne-Germany,Jan 09 2011,10:15 AM,"Sheraton, Director's Row H",American Economic Association,Topics in Wine Economics,Q1,Karl Storchmann,New York University,Joyce Jacobson,Wesleyan University,Victor Ginsburgh,University of Brussels,Bronwyn Hall,University of California-Berkeley,Charles Mason,University of Wyoming,,,DAVID JAEGER,Male,,,,,,NA,NA,NA,NA,NA,,
David N. Weil,A Bright Idea for Measuring Economic Growth,Brown University and NBER,Jan 09 2011,8:00 AM,"Sheraton, Governor's Square 9",American Economic Association,Frontiers of Productivity and Output Measurement,O4,Matthew Shapiro,University of Michigan,Charles Jones,Stanford University,Emi Nakamura,Columbia University,Ana Aizcorbe,Bureau of Economic Analysis,,,,,David N. Weil,Male,DAVID WEIL,,,,,NA,NA,NA,NA,NA,,
David Neumark,Health Shocks and Health Transitions among Employed Married Women: The Impact on Coverage and Care,University of California-Irvine and NBER,Jan 08 2011,12:30 PM,"Hyatt Regency, Capitol 7",Health Economics Research Organization,Health Insurance and Health Outcomes,I1,Michael Grossman,City University of New York Graduate Center and NBER,Thomas Stratmann,George Mason University,Joseph Price,Brigham Young University and NBER,Pamela Short Farley,Pennsylvania State University,,,,,DAVID NEUMARK,Male,,,,,,NA,NA,NA,NA,NA,,
David Neumark,Immigration and Product Diversity,University of California-Irvine,Jan 07 2011,10:15 AM,"Sheraton, Columbine",American Economic Association,Economics of Immigration,J2,Mathis Wagner,Collegio Carlo Alberto,Albrecht Glitz,Universitat Pompeu Fabra,Kevin Lang,Boston University,Jessica Pan,National University of Singapore,Stephen Trejo,University of Texas-Austin,,,DAVID NEUMARK,Male,,,,,,NA,NA,NA,NA,NA,,
David Papell,Phoenix Taylor Rule Exchange Rate Forecasting During the Financial Crisis,University of Houston,Jan 07 2011,2:30 PM,"Sheraton, Director's Row J",American Economic Association,Exchange Rate Modelling,F3,Philippe Bacchetta,University of Lausanne,Ken Kasa,Simon Fraser University,Pierre-Olivier Gourinchas,University of California-Berkeley,Jan Groen,Federal Reserve Bank of New York,Nelson Mark,University of Notre Dame,,,DAVID PAPELL,Male,,,,,,NA,NA,NA,NA,NA,,
David Scharfstein,Renegotiation of Securitized Debt,Harvard University,Jan 08 2011,2:30 PM,"Sheraton, Governor's Square 17",American Economic Association,Financial Innovation and Securitization,G2,Douglas Diamond,University of Chicago,Gary Gorton,Yale University,Anil Kashyap,University of Chicago,Atif Mian,University of California-Berkeley,Karen Pence,Federal Reserve Board,,,David Scharfstein,Male,,,,,,NA,NA,NA,NA,NA,,
David Sims,"Rich Dad, Smart Dad: Decomposing the Intergenerational Transmission of Income",Brigham Young University,Jan 08 2011,10:15 AM,"Sheraton, Plaza Court 1",American Economic Association,Intergenerational Transfers,J2,Arthur Diamond,University of Nebraska-Omaha,,,,,,,,,,,David Sims,Male,,,,,,NA,NA,NA,NA,NA,,
Day Manoli,Does Indivisible Labor Explain the Difference between Micro and Macro Elasticities? A Meta-Analysis of Extensive Margin Elasticities,University of California-Berkeley,Jan 09 2011,10:15 AM,"Sheraton, Governor's Square 15",American Economic Association,Micro vs. Macro Labor Supply Elasticities,J2,Robert Hall,Stanford University,Robert Shimer,University of Chicago,Joseph Altonji,Yale University,Steve Davis,University of Chicago,David Card,University of California-Berkeley,,,Day Manoli,Male,,,,,,NA,NA,NA,NA,NA,,
Dean Karlan,Measuring Preferences and Predicting Outcomes,Yale,Jan 09 2011,10:15 AM,"Sheraton, Denver",American Economic Association,Preferences of the Poor: Field Experiments,C9,Dean Karlan,Yale,Erin Krupka,University of Michigan,Tanya Rosenblat,Iowa State University,Margaret McConnell,Harvard University,Hernán Bejarano,Pennsylvania State University,,,DEAN KARLAN,Male,,,,,,NA,NA,NA,NA,NA,,
Dean Karlan,"You Can Pick Your Friends' Loans, As Long as You Watch Them: Loan Screening and Enforcement in a Referrals Field Experiment",Yale University,Jan 08 2011,2:30 PM,"Sheraton, Century",American Economic Association,Microfinance,O1,Ariane Szafarz,Université Libre de Bruxelles,Rients Galema,University of Groningen,Marc Labie,Université de Mons,Robert Lensink,University of Groningen,Bruce Wydick,University of San Francisco,,,DEAN KARLAN,Male,,,,,,NA,NA,NA,NA,NA,,
Dean Karlan,"Management, Capital and Firm Organization among Small-Scale Enterprises in Ghana",Yale University,Jan 09 2011,8:00 AM,"Sheraton, Director's Row H",American Economic Association,Experiments in Firms,L2,John Van Reenen,London School of Economics,,,,,,,,,,,DEAN KARLAN,Male,,,,,,NA,NA,NA,NA,NA,,
Dean Karlan,Measuring Trust in Peruvian Shantytowns,Yale University,Jan 08 2011,8:00 AM,"Sheraton, Director's Row E",American Economic Association,"Reciprocity, Trust and Social Ties",A1,Raghuram Rajan,University of Chicago,Alberto Bisin,New York University,Gustavo Manso,Massachusetts Institute of Technology,Giacomo de Giorgi,Stanford University,,,,,DEAN KARLAN,Male,,,,,,NA,NA,NA,NA,NA,,
Dean Yang,The Impact of Mexican Immigration on U.S. Natives: Evidence from Migrant Flows Driven by Rainfall Shocks,University of Michigan,Jan 08 2011,2:30 PM,"Sheraton, Silver",American Economic Association,Crossing the United States Border,J1,Stephen Trejo,University of Texas-Austin,,,,,,,,,,,Dean Yang,Male,,,,,,NA,NA,NA,NA,NA,,
Dean Yang,Sources of Time Preference and Time-Inconsistency: Evidence from the Field,University of Michigan,Jan 07 2011,2:30 PM,"Sheraton, Savoy",American Economic Association,Savings Experiments in Developing Countries,O1,Dean Yang,University of Michigan,Kartini Shastry,Wellesley College,James Andreoni,University of California-San Diego,Santhosh Anagol,University of Pennsylvania,Nava Ashraf,Harvard Business School,,,Dean Yang,Male,,,,,,NA,NA,NA,NA,NA,,
Deniz Igan,"White Men Can't Jump, But Would You Bet on It?",International Monetary Fund,Jan 07 2011,10:15 AM,"Sheraton, Century",American Economic Association,Five Unrelated but Interesting Papers,??,Allen Sanderson,University of Chicago,,,,,,,,,,,DENIZ IGAN,Female,,,,,,NA,NA,NA,NA,NA,,
Deniz Igan,"Three’s Company: Washington, Wall Street, and K Street",International Monetary Fund,Jan 09 2011,8:00 AM,"Sheraton, Governor's Square 17",American Economic Association,Political Economy of the Financial Crisis,G2,Simon Johnson,Massachusetts Institute of Technology,Anton Korinek,University of Maryland,Joshua Rauh,Northwestern University,Paola Sapienza,Northwestern University,Serdar Dinc,Massachusetts Institute of Technology and Federal Reserve Bank of Chicago,,,DENIZ IGAN,Female,,,,,,NA,NA,NA,NA,NA,,
Dennis Carlton,Antitrust Treatment of Nonprofits: Should Hospitals Receive Special Care?,University of Chicago,Jan 08 2011,8:00 AM,"Hyatt Regency, Capitol 7",Health Economics Research Organization,Are For-Profit Healthcare Providers and Payers Different? Recent Research and Policy Implications,I1,Mark G. Duggan,University of Maryland,Jill Horwitz,University of Michigan,Martin Gaynor,Carnegie Mellon University,Mireille Jacobson,RAND Corporation,,,,,DENNIS CARLTON,Male,,,,,,NA,NA,NA,NA,NA,,
