author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4,,
Dean Karlan,Financial Markets and the Returns to Fertilizer,Yale University and NBER,Jan 05 2013,8:00 AM,"Hyatt, Elizabeth Ballroom A",American Economic Association,Financial Markets and Economic Development,O1,Erica Field,Duke University and NBER,Michael Kremer,Harvard University and NBER,Paul Niehaus,University of California-San Diego,Shawn Cole,Harvard Business School,,,,,DEAN KARLAN,Male,,,,,,NA,NA,NA,NA,NA,,
Dean Karlan,Capital Constraints in Agriculture: Evidence from Mali,Yale University,Jan 04 2013,2:30 PM,"Hyatt, Gibbons",Econometric Society,"Household, Microenterprise and Agricultural Finance in Developing Countries",D1,Manuel Hernandez,International Food Policy Research Institute,Arun Gautham Chandrasekhar,Massachusetts Institute of Technology,Christopher Udry,Yale University,Jonathan Robinson,University of California-Santa Cruz,Greg Fischer,London School of Economics,,,DEAN KARLAN,Male,,,,,,NA,NA,NA,NA,NA,,
Dean Karlan,Externalities from Subsidies? Evidence from Marketing of Multiple Health Products in Uganda,Yale University,Jan 04 2013,10:15 AM,"Hyatt, Gibbons",Econometric Society,Pricing of Health Goods in Developing Countries,D1,James Berry,Cornell University,Daniel E. Keniston,Yale University,Benjamin A. Olken,Massachusetts Institute of Technology,Pascaline Dupas,Stanford University,Aprajit Mahajan,Stanford University,,,DEAN KARLAN,Male,,,,,,NA,NA,NA,NA,NA,,
Dean Yang,The Heterogeneous Impact of Agro-Input Subsidies on Maize Production: A Field Experiment in Mozambique,University of Michigan,Jan 05 2013,8:00 AM,"Marriott, Torrey Pines 1",Agricultural & Applied Economics Association,"Impact Evaluation Challenges of Agricultural Interventions: Uptake, Spillovers, Heterogeneity and Dynamics",Q1,Stephen Boucher,University of California-Davis,,,,,,,,,,,Dean Yang,Male,,,,,,NA,NA,NA,NA,NA,,
Delia Furtado,SSI for Disabled Immigrants: Why Do Ethnic Networks Matter?,University of Connecticut,Jan 04 2013,2:30 PM,"Hyatt, Randle B",American Economic Association,Developments in Health and Population Economics,I1,Steven Stern,University of Virginia,Shelly Lundberg,University of California-Santa Barbara,Steven Stern,University of Virginia,,,,,,,Delia Furtado,Female,,,,,,NA,NA,NA,NA,NA,,
Denis Tkachenko,Frequency Domain Analysis of Medium Scale DSGE Models with Application to Smets and Wouters (2007),Boston University,Jan 05 2013,2:30 PM,"Marriott, Torrey Pines 1",Society for Computational Economics,Inference in DSGE-type models,C3,Lynda Khalaf,Carleton University,Isaiah Smith Andrews,Massachusetts Institute of Technology,Ivana Komunjer,University of California-San Diego,Francisco RUGE-MURCIA,University of Montreal,,,,,Denis Tkachenko,Male,,,,,,NA,NA,NA,NA,NA,,
Denis Tkachenko,Local and Global Parameter Identification in DSGE Models Allowing for Indeterminacy,National University of Singapore,Jan 06 2013,10:15 AM,"Hyatt, Gibbons",Econometric Society,Weakly Identified Models,C2,Zhongjun Qu,Boston University,Tiemen Woutersen,University of Arizona,Patrick Guggenberger,University of California-San Diego,Xu Chen,University of Pennsylvania,Yixiao Sun,University of California-San Diego,,,Denis Tkachenko,Male,,,,,,NA,NA,NA,NA,NA,,
Dennis Kristensen,Control Functions and Simultaneous Equations Methods,University College London,Jan 04 2013,8:00 AM,"Hyatt, Manchester E",American Economic Association,What Nonparametric Methods Teach Us about Linear Methods for Models with Endogeneity,C1,Rosa Matzkin,University of California-Los Angeles,Adam M. Rosen,University College London,Amit Gandhi,University of Wisconsin-Madison,Geert Ridder,University of Southern California,,,,,DENNIS KRISTENSEN,Male,,,,,,NA,NA,NA,NA,NA,,
Devashish Mitra,Trade Reforms and Rent Sharing in China: Did Tariff Cuts Reduce Labor's Share of Income?,Syracuse University,Jan 04 2013,10:15 AM,"Hyatt, Randle D",Chinese Economists Society,"International Trade, Labor and Knowledge Capital in China since WTO",F1,Belton Fleisher,Ohio State University,C.Y. Choi,University of Texas-Arlington,William H. McGuire,Ohio State University,Zhiqiang Liu,University at Buffalo,Daniel Santabarbara,Bank of Spain,Heiwai Tang,Tufts University and Johns Hopkins University,DEVASHISH MITRA,Male,,,,,,NA,NA,NA,NA,NA,,
Devin Pope,"Heterogeneity, Market Structure, and the Effect of Inattention in Used Vehicle Markets",University of Chicago,Jan 05 2013,10:15 AM,"Hyatt, Elizabeth Ballroom G",American Economic Association,Structural Behavioral Economics,D0,Stefano DellaVigna,University of California-Berkeley,Ulrike Malmendier,University of California-Berkeley,Dan Silverman,Arizona State University,Benjamin Handel,University of California-Berkeley,Xavier Gabaix,New York University,,,DEVIN POPE,Male,,,,,,NA,NA,NA,NA,NA,,
Devin Pope,When Walmart Comes to Town: Always Low Housing Prices? Always?,University of Chicago,Jan 04 2013,8:00 AM,"Marriott, Rancho Santa Fe 3",American Real Estate & Urban Economic Association,Real Option and Value of Real Estate,D4,Daniel Quan,Cornell University,Robert Edelstein,University of California-Berkeley,Tobias Muhlhofer,Indiana University,Paul Anglin,Guelph University,Audrey Ukhov,Cornell University,,,DEVIN POPE,Male,,,,,,NA,NA,NA,NA,NA,,
Dimitris Papanikolaou,A Theory of Firm Characteristics and Stock Returns: The Role of Investment-Specific Shocks,Northwestern University,Jan 04 2013,10:15 AM,"Marriott, Marina Salon D",American Finance Association,Equity Risk Premia: Cross-Sectional Variation,G1,Nikolai Roussanov,University of Pennsylvania,Vito Gala,London Business School,Adlai Fisher,University of British Columbia,Lukas Schmid,Duke University,Johan Walden,University of California-Berkeley,,,Dimitris Papanikolaou,Male,,,,,,NA,NA,NA,NA,NA,,
Dimitris Papanikolaou,"Technological Innovation, Resource Allocation and Growth",Northwestern University,Jan 06 2013,10:15 AM,"Hyatt, Cunningham A & B",Econometric Society,Real Effects of Entrepreneurship and Innovation,L2,David Sraer,Princeton University,Petra Moser,Stanford University,Patrick Kline,University of California-Berkeley,Matthew J. Notowidigdo,University of Chicago,Shawn A. Cole,Harvard Business School,,,Dimitris Papanikolaou,Male,,,,,,NA,NA,NA,NA,NA,,
Dimitris Papanikolaou,Organization Capital and the Cross-Section of Expected Returns,Northwestern University,Jan 05 2013,2:30 PM,"Hyatt, Randle D",American Economic Association,Intangible Capital and Asset Prices,G1,Hengjie Ai,Duke University,Lu Zhang,Ohio State University,Leonid Kogan,Massachusetts Institute of Technology,Joao Gomes,University of Pennsylvania,John Heaton,University of Chicago,,,Dimitris Papanikolaou,Male,,,,,,NA,NA,NA,NA,NA,,
Dimitris Papanikolaou,"Technological Innovation, Resource Allocation, and Growth",Northwestern University,Jan 05 2013,10:15 AM,"Hyatt, Ford C",American Economic Association,Technological Change,O3,Arthur Diamond,University of Nebraska-Omaha,,,,,,,,,,,Dimitris Papanikolaou,Male,,,,,,NA,NA,NA,NA,NA,,
Dina Pomeranz,Tax Me if You Can: Third-party Cross-Checks and Evasion Substitution,Harvard University,Jan 05 2013,8:00 AM,"Hyatt, Manchester A",American Economic Association,Taxation in Developing Countries,H2,Dina Pomeranz,Harvard University,Joel Slemrod,University of Michigan,Wojciech Kopczuk,Columbia University,Raymond Fisman,Columbia University,Stephan Litschig,Universitat Pompeu Fabra,,,Dina Pomeranz,Female,,,,,,NA,NA,NA,NA,NA,,
Dirk Krueger,Optimal Progressive Income Taxation with Endogenous Education Decisions and Intergenerational Transfers,University of Pennsylvania,Jan 06 2013,8:00 AM,"Hyatt, Elizabeth Ballroom G",American Economic Association,Optimal Taxation and Social Insurance,H2,Mikhail Golosov,Princeton University,,,,,,,,,,,DIRK KRUEGER,Male,,,,,,NA,NA,NA,NA,NA,,
Dirk Krueger,Intergenerational Redistribution in the Great Recession,"CEPR, University of Pennsylvania, and NBER",Jan 05 2013,10:15 AM,"Hyatt, Elizabeth Ballroom H",American Economic Association,"Household Heterogeneity, Business Cycles, and Monetary Policy",E2,Yuriy Gorodnichenko,University of California-Berkeley,William A. Branch,University of California-Irvine,James K. Galbraith,University of Texas-Austin,Menzie Chinn,University of Wisconsin,Martin Schneider,Stanford University,,,DIRK KRUEGER,Male,,,,,,NA,NA,NA,NA,NA,,
Dmytro Hryshko,Reconciling Estimates of Income Processes in Growth Rates and Levels,University of Alberta,Jan 04 2013,2:30 PM,"Hyatt, Cunningham A & B",Econometric Society,Nature of Labor Income Risk,E2,Fatih Karahan,University of Pennsylvania,,,,,,,,,,,DMYTRO HRYSHKO,Male,,,,,,NA,NA,NA,NA,NA,,
Dmytro Hryshko,"Moving to a Job: The Role of Home Equity, Debt, and Access to Credit",University of Alberta,Jan 06 2013,1:00 PM,"Hyatt, Elizabeth Ballroom A",American Economic Association,Exploring the Role of Mortgage Lending Using Credit Report Data,E2,Bent Sorensen,University of Houston,Shane M. Sherlund,Federal Reserve Board,Wilbert van der Klaauw,Federal Reserve Bank of New York,Sumit Agarwal,National University of Singapore,Greg Kaplan,Princeton University,,,DMYTRO HRYSHKO,Male,,,,,,NA,NA,NA,NA,NA,,
Domenico Giannone,Bank Balance Sheets in the Financial Crisis,ECARES Universite Libre de Bruxelles,Jan 06 2013,8:00 AM,"Hyatt, America's Cup A & B",Econometric Society,Assessing Unconventional Monetary Policy,E5,Athanasios Orphanides,Massachusetts Institute ofTechnology,Frank R. Smets,European Central Bank,Hakan Kara,Central Bank of Turkey,Mike Joyce,Bank of England,,,,,Domenico Giannone,Male,,,,,,NA,NA,NA,NA,NA,,
Dominic P. Parker,The Microeconomics of a Natural Resource Boom: Evidence from a Tribal Fishery,Montana State University,Jan 04 2013,8:00 AM,"Marriott, Atlanta",Society of Government Economists,Institutional Structures and Strategies for Economic Growth in Indian Country,O4,Benjamin Simon,U.S. Department of Interior,Wendy Li,Bureau of Economic Analysis,Rachael Soloveichik,Bureau of Economic Analysis,,,,,,,Dominic P. Parker,Male,,,,,,NA,NA,NA,NA,NA,,
Dominic P. Parker,Natural Resources on American Indian Reservations: Blessing or Curse?,Montana State University,Jan 05 2013,8:00 AM,"Marriott, Atlanta",Society of Government Economists,Principles for Successful Investment in Indian Country,O1,Malka Pattison,U.S. Department of Interior,Judith Vergun,Consultant,David Joulfaian,Department of the Treasury,,,,,,,Dominic P. Parker,Male,,,,,,NA,NA,NA,NA,NA,,
Don Fullerton,Empirically Testing the Determinants of Leakage in a General Equilibrium Model of Deforestation,University of Illinois-Urbana-Champaign,Jan 04 2013,10:15 AM,"Hyatt, Maggie",Association of Environmental & Resource Economists,Forests and Agriculture,Q1,Michael Roberts,North Carolina State University,Barrett Kirwan,University of Illinois-Urbana-Champaign,Michael Roberts,North Carolina State University,Jarrod Welch,National Bureau of Economic Research,Erica Field,Duke University,,,DON FULLERTON,Male,,,,,,NA,NA,NA,NA,NA,,
Don Fullerton,"Leakage, Welfare, and Cost-Effectiveness of Carbon Policy",University of Illinois-Urbana-Champaign,Jan 06 2013,1:00 PM,"Hyatt, Randle E",American Economic Association,Impacts of Unilateral Climate Change Policy,Q5,Brian Copeland,University of British Columbia,Sam Kortum,University of Chicago,Brian Copeland,University of British Columbia,Ian Sue Wing,Boston University,,,,,DON FULLERTON,Male,,,,,,NA,NA,NA,NA,NA,,
Dong Hwan Oh,Modelling Dependence in High Dimensions with Factor Copulas,Duke University,Jan 04 2013,2:30 PM,"Hyatt, Emma A & B",Econometric Society,Forecasting/Financial Econometrics,C5,Allan Timmermann,University of California-San Diego,Yanqin Fan,Vanderbilt University,Marcelo Moreira,FGV,Jesus Fernandez-Villaverde,University of Pennsylvania,Barbara Rossi,Universitat Pompeu Fabra,,,Dong Hwan Oh,Male,,,,,,NA,NA,NA,NA,NA,,
Dong Lou,Co-Momentum: Inferring Arbitrage Capital from Return Correlations,London School of Economics,Jan 05 2013,10:15 AM,"Marriott, Marina Salon D",American Finance Association,Anomalies and Inefficiency III,G1,Lauren Cohen,Harvard Business School,Pengjie Gao,University of Notre Dame,Kewei Hou,Ohio State University,Kewei Hou,Ohio State University,Abhiroop Mukherjee,Hong Kong University of Science & Technology,,,Dong Lou,Male,,,,,,NA,NA,NA,NA,NA,,
Dongho Song,Improving U.S. GDP Measurement: A Forecast Combination Perspective,University of Pennsylvania,Jan 06 2013,10:15 AM,"Hyatt, Elizabeth Ballroom A",American Economic Association,Measurement Issues in the National Accounts,E0,Robert Feenstra,University of California-Davis,John Roberts,Federal Reserve Board,Marshall Reinsdorf,Bureau of Economic Analysis,Ron Borzekowski,Consumer Financial Protection Bureau,Kristopher Gerardi,Federal Reserve Bank of Atlanta,,,Dongho Song,Male,,,,,,NA,NA,NA,NA,NA,,
Douglas Almond,Long-Term Effect of In Utero Exposure to Land Reform on Academic Performance in China,Columbia University,Jan 04 2013,10:15 AM,"Hyatt, Manchester E",American Economic Association,Child Health in Developing Countries,I1,Angus Deaton,Princeton University,Albert Park,Hong Kong University of Science and Technology,T. Paul Schultz,Yale University,Andrew Foster,Brown University,Chih Ming Tan,Clark University,,,DOUGLAS ALMOND,Male,,,,,,NA,NA,NA,NA,NA,,
Douglas Almond,The Original Introduction of Medicaid: Impact on Disparities in Health and the Use of Health Care,Columbia University,Jan 06 2013,10:15 AM,"Hyatt, Manchester E",American Economic Association,Developments in Health and Insurance,I1,Frank Sloan,Duke University,Chinhui Juhn,University of Houston,Petra Todd,University of Pennsylvania,,,,,,,DOUGLAS ALMOND,Male,,,,,,NA,NA,NA,NA,NA,,
Douglas Gale,Substantive and Procedural Rationality in Decisions under Uncertainty,New York University,Jan 04 2013,10:15 AM,"Hyatt, America's Cup D",Econometric Society,Measuring Risk and Time Preferences,D8,Shachar Kariv,University of California-Berkeley,Shachar Kariv,University of California-Berkeley,Glenn Harrison,Georgia State University,James Andreoni,University of California San Diego,Yoram Halevy,University of British Columbia,,,DOUGLAS GALE,Male,,,,,,NA,NA,NA,NA,NA,,
Douglas Gollin,The Agricultural Productivity Gap in Developing Countries,Williams College,Jan 06 2013,8:00 AM,"Hyatt, Manchester E",American Economic Association,Structural Change and Productivity,O4,Diego Restuccia,University of Toronto,Diego Restuccia,University of Toronto,Todd Schoellman,Arizona State University,Dennis Yang,Chinese University of Hong Kong,Yong Wang,Hong Kong University of Science and Technology,,,DOUGLAS GOLLIN,Male,,,,,,NA,NA,NA,NA,NA,,
Douglas L. Miller,Head Start: From Origins to Impacts,University of California-Davis,Jan 06 2013,10:15 AM,"Marriott, Torrey Pines 3",National Economic Association,The Legacy of the War on Poverty,H3,Sheldon Danziger,University of Michigan,Cecilia Rouse,Princeton University,Bill Collins,Vanderbilt University,Robert Margo,Boston University,,,,,Douglas L. Miller,Male,,,,,,NA,NA,NA,NA,NA,,
Douglas O. Staiger,Trends in Dual-Career Households and the Locational Choice of Physicians,Dartmouth College,Jan 06 2013,8:00 AM,"Hyatt, Molly A & B",American Economic Association,Health Care Labor Markets,J4,Patricia Cortes,Boston University,Erin Johnson,Massachusetts Institute of Technology,Wes Yin,Boston University,John Graves,Vanderbilt University,Joshua D. Gottlieb,University of British Columbia,,,Douglas O. Staiger,Male,DOUGLAS STAIGER,,,,,NA,NA,NA,NA,NA,,
Dragon Yongjun Tang,Does the Tail Wag the Dog? The Effect of Credit Default Swaps on Credit Risk,University of Hong Kong,Jan 06 2013,1:00 PM,"Hyatt, Elizabeth Ballroom F",American Economic Association,Causes and Consequences of Credit Default Swap Trading,G1,Francis Longstaff,University of California-Los Angeles,Or Shachar,New York University,Murillo Campello,Cornell University,Erik Staffor,Harvard Business School,Jennie Bai,Federal Reserve Bank of New York,,,Dragon Yongjun Tang,Male,Dragon Tang,,,,,NA,NA,NA,NA,NA,,
Duane Seppi,Paying Attention: Investor Account Look-Ups and Information - Dependent Utility,Carnegie Mellon University,Jan 05 2013,2:30 PM,"Marriott, Marina Salon E",American Finance Association,Behavioral Finance-Individuals,G1,Brad Barber,University of California-Davis,Jeffrey R. Brown,University of Illinois at Urbana-Champaign,Simon Gervais,Duke University,James J. Choi,Yale University,Bing Han,University of Texas-Austin,,,Duane Seppi,Male,,,,,,NA,NA,NA,NA,NA,,
Duncan Thomas,Mexicans in America,Duke University,Jan 05 2013,10:15 AM,"Hyatt, Gregory A & B",American Economic Association,Causes and Consequences of Split-Household Migration,O1,Mark Rosenzweig,Yale University,Francisca Antman,University of Colorado-Boulder,Alan de Brauw,International Food Policy Research Institute,Michael Clemens,Center for Global Development,Mark R. Rosenzweig,Yale University,,,Duncan Thomas,Male,,,,,,NA,NA,NA,NA,NA,,
Duncan Thomas,"Location, Resources and Family Decision-Making",Duke University,Jan 06 2013,10:15 AM,"Hyatt, Manchester G",American Economic Association,The Geography of the Family,D1,Marjorie McElroy,Duke University,Dora L. Costa,University of California-Los Angeles,Lillian Pezzin,Medical College of Wisconsin,Terra G. McKinnish,University of Colorado,Robert Willis,University of Michigan,,,Duncan Thomas,Male,,,,,,NA,NA,NA,NA,NA,,
Dwight Jaffee,Financing Mechanisms for Energy-Efficient Retrofits for Single-Family Housing,University of California-Berkeley,Jan 06 2013,10:15 AM,"Marriott, Rancho Santa Fe 3",American Real Estate & Urban Economic Association,Green Building and Sustainable Real Estate Development,Q5,Norman Miller,University of San Diego,Walter Torous,University of California-Los Angeles,Jan Brueckner,University of California-Irvine,Richard Arnott,University of California-Riverside,Stephen Malpezzi,University of Wisconsin,,,DWIGHT JAFFEE,Male,,,,,,NA,NA,NA,NA,NA,,
Dylan Walker,The Impact of Strength of Tie and Social Embeddedness on Influence in Social Networks: Evidence from a Randomized Experiment,New York University,Jan 05 2013,2:30 PM,"Marriott, Coronado Room",Economic Science Association,Online Field Experiments,C9,Yan Chen,University of Michigan,,,,,,,,,,,Dylan Walker,Male,,,,,,NA,NA,NA,NA,NA,,
Ebonya Washington,Valuing the Vote: the Redistribution of voting rights and state funds Following the Voting Rights Act of 1965,Yale University,Jan 05 2013,2:30 PM,"Hyatt, Emma A & B",American Economic Association,The Impacts of Great Society Programs,N3,Gavin Wright,Stanford University,Amitabh Chandra,Harvard University,Robert Margo,Boston University,David Deming,Harvard University,Jordan Matsudaira,Cornell University,,,EBONYA WASHINGTON,Female,,,,,,NA,NA,NA,NA,NA,,
Edward C. Prescott,Technology Capital Transfer,Federal Reserve Bank of Minneapolis,Jan 06 2013,8:00 AM,"Hyatt, Cunningham A & B",Econometric Society,Offshoring and Technology Transfer,F2,Philippe Bacchetta,University of Lausanne,,,,,,,,,,,Edward C. Prescott,Male,EDWARD PRESCOTT,,,,,NA,NA,NA,NA,NA,,
Edward Glaeser,Entrepreneurship and Urban Growth: An Empirical Assessment with Historical Mines,Harvard University,Jan 06 2013,10:15 AM,"Hyatt, Cunningham A & B",Econometric Society,Real Effects of Entrepreneurship and Innovation,L2,David Sraer,Princeton University,Petra Moser,Stanford University,Patrick Kline,University of California-Berkeley,Matthew J. Notowidigdo,University of Chicago,Shawn A. Cole,Harvard Business School,,,EDWARD GLAESER,Male,,,,,,NA,NA,NA,NA,NA,,
Edward Miguel,Worms at Work: Long-Run Impacts of Child Health Gains,University of California-Berkeley,Jan 06 2013,10:15 AM,"Hyatt, Manchester F",American Economic Association,Impacts of Experimental Education and Health Interventions on Labor Market Outcomes,J3,Paul Glewwe,University of Minnesota,Paul Glewwe,University of Minnesota,Adriana Lleras-Muney,University of California-Los Angeles,Karthik Muralidharan,University of California-San Diego,Prashant Bharad,University of California-San Diego,,,EDWARD MIGUEL,Male,,,,,,NA,NA,NA,NA,NA,,
Edward Miguel,"Transportation Choices, Fatalism and the Value of Life in Africa",University of California-Berkeley,Jan 04 2013,8:00 AM,"Hyatt, Edward C",American Economic Association,Novel Approaches for Estimating the Value of a Statistical Life,J1,Laura Taylor,North Carolina State University,Michael Anderson,University of California-Berkeley,Nicolai V. Kuminoff,Arizona State University,Hendrik Wolff,University of Washington,Raymond Guiteras,University of Maryland,,,EDWARD MIGUEL,Male,,,,,,NA,NA,NA,NA,NA,,
Edward Miguel,Vocational Education Voucher Delivery and Labor Market Returns: A Randomized Evaluation Among Kenyan Youth,University of California-Berkeley,Jan 06 2013,8:00 AM,"Hyatt, Randle A",American Economic Association,Returns to Vocational Education - Experimental Evidence from Developing Countries,I2,Costas Meghir,Yale University,Aimee Chin,University of Houston,Karen Macours,Paris School of Economics,Santosh Anagol,University of Pennsylvania,Pascaline Dupas,Stanford University,,,EDWARD MIGUEL,Male,,,,,,NA,NA,NA,NA,NA,,
Ekaterina Zhuravskaya,Media Effects in Nazi Germany,Paris School of Economics,Jan 04 2013,8:00 AM,"Hyatt, Madeleine A",American Economic Association,The Political Economy of Mass Media,H8,Ruben Enikolopov,New Economic School,Ruben Durante,Sciences Po,Ruben Enikolopov,New Economic School,Stefano DellaVIgna,University of California-Berkeley,Maria Petrova,New Economic School,,,EKATERINA ZHURAVSKAYA,Female,,,,,,NA,NA,NA,NA,NA,,
Ekaterina Zhuravskaya,Persistent Anti-Market Culture: A Legacy of the Pale of Settlement after the Holocaust,Paris School of Economics and New Economic School,Jan 06 2013,8:00 AM,"Hyatt, Edward B & C",Association for Comparative Economic Studies,Historical and Contemporary Dimensions of Economic Transition: Evidence from the Life in Transition Survey,P2,Erik Berglöf,EBRD,Jeromin Zettelmeyer,EBRD,Martin Brown,University of St. Gallen,Ralph De Haas,EBRD,Ekaterina Zhuravskaya,Paris School of Economics and New Economic School,,,EKATERINA ZHURAVSKAYA,Female,,,,,,NA,NA,NA,NA,NA,,
Ekaterina Zhuravskaya,Did Serfdom Matter? Economic Consequences of Emancipation in the Russian Empire,Paris School of Economics and New Economic School,Jan 05 2013,8:00 AM,"Hyatt, Gallery",Association for Comparative Economic Studies/American Economic Association,Social and Economic Consequences of Land Reforms in Russia,N3,Sergei Guriev,New Economic School,Amanda Gregg,Yale University,Paul Gregory,University of Houston,Steven Nafziger,Williams College,,,,,EKATERINA ZHURAVSKAYA,Female,,,,,,NA,NA,NA,NA,NA,,
Ekkehart Boehmer,International Evidence on Algorithmic Trading,EDHEC Business School,Jan 06 2013,1:00 PM,"Marriott, Marina Salon F",American Finance Association,High Frequency Trading,G1,Hendrik Bessembinder,University of Utah,Charles Jones,Columbia University,Terrence Hendershott,University of California-Berkeley,Andrei Kirilenko,Commodity Futures Trading Commission,Albert (Pete) Kyle,University of Maryland,,,EKKEHART BOEHMER,Male,,,,,,NA,NA,NA,NA,NA,,
Elena Pastorino,Nonlinear Pricing of Food in Village Economies,Federal Reserve Bank of Minneapolis and University of Minnesota,Jan 04 2013,10:15 AM,"Hyatt, Gibbons",Econometric Society,Pricing of Health Goods in Developing Countries,D1,James Berry,Cornell University,Daniel E. Keniston,Yale University,Benjamin A. Olken,Massachusetts Institute of Technology,Pascaline Dupas,Stanford University,Aprajit Mahajan,Stanford University,,,Elena Pastorino,Female,,,,,,NA,NA,NA,NA,NA,,
Eleonora Granziera,House Price Dynamics: Fundamentals and Expectations,Bank of Canada,Jan 04 2013,8:00 AM,"Hyatt, Elizabeth Ballroom H",American Economic Association,Housing Bubbles: Theory and Evidence,G1,Kevin Lansing,Federal Reserve Bank of San Francisco and Norges Bank,Loriana Pelizzon,University of Venice and Massachusetts Institute of Technology,Berrak Bahadir,University of Georgia,Tassos Malliaris,Loyola University Chicago,Roland Fuss,University of St. Gallen and Center for European Economic Research,,,Eleonora Granziera,Female,,,,,,NA,NA,NA,NA,NA,,
Eleonora Patacchini,Systemic Risk and Network Formation in the Interbank Market,La Sapienza University of Rome,Jan 04 2013,8:00 AM,"Hyatt, Elizabeth Ballroom F",American Economic Association,Financial Networks,G1,Ethan Cohen-Cole,University of Maryland,Matthew O. Jackson,Stanford University,Daron Acemoglu,Massachusetts Institute of Technology,Ethan Cohen-Cole,University of Maryland,,,,,ELEONORA PATACCHINI,Female,,,,,,NA,NA,NA,NA,NA,,
Elhanan Helpman,Sources of Wage Inequality,Harvard University and NBER,Jan 05 2013,2:30 PM,"Hyatt, Elizabeth Ballroom B",American Economic Association,International Trade and Labor Markets,F2,Gordon Hanson,University of California-San Diego and NBER,Charles Jones,Stanford University and NBER,Jonathan Eaton,Pennsylvania State University and NBER,Lawrence Katz,Harvard University and NBER,,,,,ELHANAN HELPMAN,Male,,,,,,NA,NA,NA,NA,NA,,
Eli Berman,"Modest, Secure and Informed: Successful Development in Conflict Zones",University of California-San Diego,Jan 05 2013,8:00 AM,"Hyatt, Randle A & B",American Economic Association,Economics of National Security,H5,Martin Feldstein,Harvard University and NBER,Andrei Shleifer,Harvard University,Michael Meese,U.S. Military Academy at West Point,Martin Feldstein,Harvard University,Melissa Dell,Massachusetts Institute of Technology,,,ELI BERMAN,Male,,,,,,NA,NA,NA,NA,NA,,
Eliana La Ferrara,From Public Influence to Private Return: Evidence from the Italian Advertising Market,Bocconi University,Jan 04 2013,8:00 AM,"Hyatt, Madeleine A",American Economic Association,The Political Economy of Mass Media,H8,Ruben Enikolopov,New Economic School,Ruben Durante,Sciences Po,Ruben Enikolopov,New Economic School,Stefano DellaVIgna,University of California-Berkeley,Maria Petrova,New Economic School,,,ELIANA LA FERRARA,Female,ELIANA LAFERRARA,,,,,NA,NA,NA,NA,NA,,
Elizabeth Brainerd,Religion and Health in Early Childhood: Evidence from the Indian Subcontinent,Brandeis University,Jan 04 2013,10:15 AM,"Hyatt, Manchester E",American Economic Association,Child Health in Developing Countries,I1,Angus Deaton,Princeton University,Albert Park,Hong Kong University of Science and Technology,T. Paul Schultz,Yale University,Andrew Foster,Brown University,Chih Ming Tan,Clark University,,,ELIZABETH BRAINERD,Female,,,,,,NA,NA,NA,NA,NA,,
Emanuele Tarantino,The Causal Effect of Bankruptcy Law on the Cost of Finance,University of Bologna,Jan 05 2013,8:00 AM,"Marriott, Balboa & Mission Hills",American Finance Association,Bankruptcy and Distress,G3,Efraim Benmelech,Harvard University,Bo Becker,Harvard Business School,David Smith,University of Virginia,Brian Melzer,Northwestern University,Jennifer Dlugosz,Federal Reserve Board,,,Emanuele Tarantino,Male,,,,,,NA,NA,NA,NA,NA,,
Emel Filiz-Ozbay,Multi Object Auctions with Resale: Theory and Experiment,University of Maryland,Jan 06 2013,8:00 AM,"Hyatt, Randle B",American Economic Association,Experimental Auctions: Evidence from the Lab and Field,C9,James Cox,Georgia State University,Ron Harstad,University of Missouri,Andreas Lange,University of Hamburg,Sotiris Georganas,"University of London, Royal Holloway",Andrew Sweeting,Duke University,,,Emel Filiz-Ozbay,Unknown,,,,,,NA,NA,NA,NA,NA,,
Emilia Simeonova,Children of the Pill: The Effect of Subsidizing Oral Contraceptives on Children's Health and Wellbeing,Tufts University,Jan 04 2013,8:00 AM,"Hyatt, Emma A & B",American Economic Association,Contraception and Abortion,J1,Martha Bailey,University of Michigan,,,,,,,,,,,EMILIA SIMEONOVA,Female,,,,,,NA,NA,NA,NA,NA,,
Emilia Simeonova,Gender Empowerment in 19thCentury Sweden: Using Historical Data to Assess the Effects of Trade Shocks on Women's Economic Empowerment,Tufts University,Jan 05 2013,10:15 AM,"Hyatt, Edward C",American Economic Association,"Gender, Trade and Productivity Shocks",J1,Claudia Olivetti,Boston University,Gordon B. Dahl,University of California-San Diego,Melissa A. Thomasson,Miami University of Ohio,David Dorn,CEMFI,Claudia Olivetti,Boston University,,,EMILIA SIMEONOVA,Female,,,,,,NA,NA,NA,NA,NA,,
Emilio Calvano,Consumer Tracking and Efficient Matching in Online Advertising Markets,Bocconi University,Jan 05 2013,2:30 PM,"Hyatt, Elizabeth Ballroom F",American Economic Association,Economics of the Internet,D1,Hal Varian,Google,Feng Zhu,University of Southern California,Hal R. Varian,Google,Jeffrey Prince,Indiana University,,,,,Emilio Calvano,Male,,,,,,NA,NA,NA,NA,NA,,
