author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Fabrice Collard,Booms and Systemic Banking Crises,University of Bern,Jan 05 2014,1:00 PM,"Pennsylvania Convention Center, 201-B",American Economic Association,"Macro, Money and Financial Fragility",E5,Yuliy Sannikov,Princeton University,Sebastian DiTella,Stanford University,Matteo Maggiori,New York University,Valentin Haddad,Princeton University,,,,,Fabrice Collard,Male,,,,,,NA,NA,NA,NA,NA
Fabrizio Ferri,Management Influence on Investors: Evidence from Shareholder Votes on the Frequency of Say on Pay,Columbia University,Jan 05 2014,10:15 AM,"Loews Philadelphia Hotel, Commonwealth Hall C",American Finance Association,Managerial Incentives II,G3,Bilge Yilmaz,University of Pennsylvania,Mark Jenkins,University of Pennsylvania,Nadya Malenko,Boston College,Robert Marquez,University of California-Davis,,,,,FABRIZIO FERRI,Male,,,,,,NA,NA,NA,NA,NA
Fabrizio Perri,Assessing International Efficiency,Universita Bocconi,Jan 05 2014,10:15 AM,"Pennsylvania Convention Center, 105-B",American Economic Association,Aggregate Models in International Economics,F4,Jonathan Heathcote,Federal Reserve Bank of Minneapolis,,,,,,,,,,,FABRIZIO PERRI,Male,,,,,,NA,NA,NA,NA,NA
Fang Yang,Does Relative Risk Aversion Vary with Wealth? Evidence from Households' Portfolio Choice Data,Louisiana State University,Jan 05 2014,1:00 PM,"Pennsylvania Convention Center, 105-B",American Economic Association,Households and Allocation Decisions,E2,Wenli Li,Federal Reserve Bank of Philadelphia,,,,,,,,,,,Fang Yang,Female,,,,,,NA,NA,NA,NA,NA
Fatih Karahan,What Do Data on Millions of United States Workers Say About Labor Income Risk?,Federal Reserve Bank of New York,Jan 04 2014,10:15 AM,"Pennsylvania Convention Center, 103-C",American Economic Association,Nature of Labor Income Dynamics,J3,Fatih Karahan,Federal Reserve Bank of New York,,,,,,,,,,,Fatih Karahan,Male,,,,,,NA,NA,NA,NA,NA
Fatih Karahan,Unemployment Benefits and Unemployment in the Great Recession: The Role of Macro Effects,Federal Reserve Bank of New York,Jan 04 2014,2:30 PM,"Philadelphia Marriott, Meeting Room 404",Econometric Society,Unemployment Across Regions and Sectors,J3,Marianna Kudlyak,Federal Reserve Bank of Richmond,,,,,,,,,,,Fatih Karahan,Male,,,,,,NA,NA,NA,NA,NA
Federico S. Mandelman,"Offshoring, Low-Skilled Immigration and Labor Market Polarization",Federal Reserve Bank of Atlanta,Jan 05 2014,10:15 AM,"Pennsylvania Convention Center, 105-B",American Economic Association,Aggregate Models in International Economics,F4,Jonathan Heathcote,Federal Reserve Bank of Minneapolis,,,,,,,,,,,Federico S. Mandelman,Male,FEDERICO MANDELMAN,,,,,NA,NA,NA,NA,NA
Felipe Severino,"House Prices, Collateral and Self-Employment",Massachusetts Institute of Technology,Jan 04 2014,2:30 PM,"Loews Philadelphia Hotel, Millennium Hall",American Finance Association,The Consequences of Imperfect Financial Markets,G1,Zhiguo He,University of Chicago,David Sraer,Princeton University,Arvind Krishnamurthy,Northwestern University,Neng Wang,Columbia University,,,,,Felipe Severino,Male,,,,,,NA,NA,NA,NA,NA
Fernanda Brollo,Learning about the Enforcement of Conditional Welfare Programs: Evidence from the Bolsa Familia Program in Brazil,University of Warwick,Jan 05 2014,1:00 PM,"Philadelphia Marriott, Grand Ballroom - Salon A",American Economic Association,Welfare Policies in Latin American,I3,Flavio Cunha,University of Pennsylvania,Renata Narita,World Bank,Alex Solis,Uppsala University,Rita Ginja,Uppsala University,Pedro Carneiro,University College London,,,Fernanda Brollo,Female,,,,,,NA,NA,NA,NA,NA
Fernanda Nechio,Real Exchange Rate Dynamics -- The Role of Monetary Policy,Federal Reserve Bank of San Francisco,Jan 05 2014,10:15 AM,"Pennsylvania Convention Center, 105-B",American Economic Association,Aggregate Models in International Economics,F4,Jonathan Heathcote,Federal Reserve Bank of Minneapolis,,,,,,,,,,,FERNANDA NECHIO,Female,,,,,,NA,NA,NA,NA,NA
Fernando Alvarez,Optimal Disclosure and Contagion for Interconnected Banks,University of Chicago,Jan 05 2014,10:15 AM,"Loews Philadelphia Hotel, Congress B",Society for Economic Dynamics,Networks in Macroeconomics and Finance,G1,Jennifer La'O,Columbia University,,,,,,,,,,,FERNANDO ALVAREZ,Male,,,,,,NA,NA,NA,NA,NA
Fernando Broner,Sovereign Debt Markets in Turbulent Times: Creditor Discrimination and Crowding-Out Effects,"CREI, UPF, and Barcelona GSE",Jan 05 2014,10:15 AM,"Pennsylvania Convention Center, 204-C",American Economic Association,Advances in Open Macroeconomics,F3,Jaume Ventura,"CREI, UPF, and Barcelona GSE",Kenneth Rogoff,Harvard University,Philipp Schnabl,New York University,Oleg Itskhoki,Princeton University,Jaume Ventura,"CREI, UPF, and Barcelona GSE",,,FERNANDO BRONER,Male,,,,,,NA,NA,NA,NA,NA
Filip Matejka,Attention Discrimination: Theory and Field Experiments,CERGE-EI,Jan 05 2014,10:15 AM,"Philadelphia Marriott, Grand Ballroom - Salon C",American Economic Association,Inattention and Experiments,D8,Filip Matejka,CERGE-EI,Dirk Bergemann,Yale University,Colin Camerer,California Institute of Technology,Cars Hommes,University of Amsterdam,,,,,Filip Matejka,Male,,,,,,NA,NA,NA,NA,NA
Fiona Murray,Retractions,Massachusetts Institute of Technology,Jan 03 2014,8:00 AM,"Pennsylvania Convention Center, 103-C",American Economic Association,Innovation,O3,Arthur Diamond,University of Nebraska-Omaha,,,,,,,,,,,Fiona Murray,Female,,,,,,NA,NA,NA,NA,NA
Firouz Gahvari,Optimal Taxation of Junk Food,University of Illinois-Urbana-Champaign,Jan 04 2014,8:00 AM,"Pennsylvania Convention Center, 202-A",American Economic Association,Taxation,H2,Sara LaLumia,Williams College,,,,,,,,,,,FIROUZ GAHVARI,Male,,,,,,NA,NA,NA,NA,NA
Florian Ederer,Understanding Mechanisms Underlying Peer Effects: Evidence from a Field Experiment on Financial Decisions,University of California-Los Angeles,Jan 03 2014,8:00 AM,"Pennsylvania Convention Center, 203-A",American Economic Association,Sources of Peer Effects,D8,Bruce Sacerdote,Dartmouth University,Achyuta Adhvaryu,Yale University,Kenneth Ahern,University of Southern California,Scott Carrell,University of California-Davis,John Beshears,Harvard University,,,Florian Ederer,Male,,,,,,NA,NA,NA,NA,NA
Florian Heider,"Risk-Sharing or Risk-Taking? Counterparty Risk, Incentives and Margins",European Central Bank,Jan 04 2014,10:15 AM,"Philadelphia Marriott, Grand Ballroom - Salon C",American Economic Association,Agency Conflicts and Asset Pricing,G1,Bruno Biais,Toulouse School of Economics,Hyun S. Shin,Princeton University,Markus K. Brunnermeier,Princeton University,Alp Simsek,Massachusetts Institute of Technology,Zhiguo He,University of Chicago,,,FLORIAN HEIDER,Male,,,,,,NA,NA,NA,NA,NA
Florian Heiss,Plan Switching and Inertia in Medicare Part D: Evidence from Administrative Data,University of Dusseldorf,Jan 03 2014,2:30 PM,"Pennsylvania Convention Center, 201-C",American Economic Association,Public Policy and the Design of Medicare Part D,I1,Amy Finkelstein,Massachusetts Institute of Technology,,,,,,,,,,,FLORIAN HEISS,Male,,,,,,NA,NA,NA,NA,NA
Florian Hoffmann,"Sectoral Shift, Job Mobility and Wage Inequality",University of British Columbia,Jan 04 2014,2:30 PM,"Philadelphia Marriott, Meeting Room 404",Econometric Society,Unemployment Across Regions and Sectors,J3,Marianna Kudlyak,Federal Reserve Bank of Richmond,,,,,,,,,,,Florian Hoffmann,Male,,,,,,NA,NA,NA,NA,NA
Fotini Christia,Do Elected Councils Improve Governance Outcomes? Experimental Evidence on Local Institutions in Afghanistan,Massachusetts Institute of Technology,Jan 04 2014,2:30 PM,"Pennsylvania Convention Center, 109-B",American Economic Association,"Political Institutions, Representation and Policy",D7,Benjamin Olken,Massachusetts Institute of Technology,Tommaso Nannicini,Bocconi University,Anh Tran,Indiana University,Stephan Litschig,Universitat Pompeu Fabra,,,,,Fotini Christia,Female,,,,,,NA,NA,NA,NA,NA
Francesco Bianchi,"Uncertainty Shocks, Asset Supply and Pricing over the Business Cycle",Duke University,Jan 03 2014,8:00 AM,"Pennsylvania Convention Center, 201-B",American Economic Association,Macroeconomic Uncertainty and Asset Prices,G1,Ivan Shaliastovich,University of Pennsylvania,,,,,,,,,,,FRANCESCO BIANCHI,Male,,,,,,NA,NA,NA,NA,NA
Francesco Decarolis,Medicare Part D: Are Insurers Gaming the Low-Income Subsidy Design?,Boston University,Jan 03 2014,2:30 PM,"Pennsylvania Convention Center, 201-C",American Economic Association,Public Policy and the Design of Medicare Part D,I1,Amy Finkelstein,Massachusetts Institute of Technology,,,,,,,,,,,Francesco Decarolis,Male,,,,,,NA,NA,NA,NA,NA
Francesco Franzoni,Do Hedge Funds Provide Liquidity? Evidence from their Trades,University of Lugano,Jan 03 2014,2:30 PM,"Loews Philadelphia Hotel, Commonwealth Hall C",American Finance Association,Hedge Funds,G2,Stefan Nagel,Stanford University,Jakub W. Jurek,Princeton University,Lasse Pedersen,Copenhagen Business School,Jonathan B. Berk,Stanford University,Itzhak Ben-David,Ohio State University,,,Francesco Franzoni,Male,,,,,,NA,NA,NA,NA,NA
Francesco Ravazzolo,Nowcasting the Business Cycle in an Uncertain Enviroment,Norges Bank,Jan 04 2014,2:30 PM,"Pennsylvania Convention Center, 203-A",American Economic Association,Data Revisions and Macroeconomic Analysis,E5,Dean Croushore,University of Richmond,Todd Clark,Federal Reserve Bank of Cleveland,Jonathan Wright,Johns Hopkins University,Nelson Mark,University of Notre Dame,Valerie Ramey,University of California-San Diego,,,Francesco Ravazzolo,Male,,,,,,NA,NA,NA,NA,NA
Francine Lafontaine,Financial Constraints and Moral Hazard: The Case of Franchising,University of Michigan,Jan 04 2014,10:15 AM,"Pennsylvania Convention Center, 106-A",Industrial Organization Society,Empirical Studies of Contracts,D8,Bernard Salanie,Columbia University,Pierre Dubois,Toulouse School of Economics,Julie Mortimer,Boston College,Steven Tadelis,University of California-Berkeley,Jaap Abbring,Tilburg University,,,FRANCINE LAFONTAINE,Female,,,,,,NA,NA,NA,NA,NA
Francis Kramarz,"Firm-to-Firm Trade: Imports, Exports, and the Labor Market",CREST,Jan 03 2014,2:30 PM,"Pennsylvania Convention Center, 103-B",American Economic Association,Trade and Inequality,F1,Gene Grossman,Princeton University,Ann Harrison,University of Pennsylvania,Thomas Sampson,London School of Economics,Rafael Dix-Carneiro,University of Maryland,Justin Pierce,Federal Reserve Board,,,FRANCIS KRAMARZ,Male,,,,,,NA,NA,NA,NA,NA
Francis Kramarz,Firm-to-Firm Trade,CREST,Jan 04 2014,8:00 AM,"Loews Philadelphia Hotel, Regency Ballroom C2",International Economic & Finance Society,International Trade,F1,Hakan Yilmazkuday,Florida International University,,,,,,,,,,,FRANCIS KRAMARZ,Male,,,,,,NA,NA,NA,NA,NA
Francisco J. Buera,Macro-Perspectives on Asset Grants Programs: Occupational and Wealth Mobility,University of California-Los Angeles,Jan 04 2014,8:00 AM,"Pennsylvania Convention Center, 201-B",American Economic Association,Macro Development with Micro Data,O4,Peter Klenow,Stanford University,Dean Karlan,Yale University,Diego Restuccia,University of Toronto,Pascaline Dupas,Stanford University,,,,,Francisco J. Buera,Male,FRANCISCO BUERA,,,,,NA,NA,NA,NA,NA
Francisco J. Buera,"Quantifying the Growth in Services:The Role of Skills, Scale, and Female Labor Supply",University of California-Los Angeles,Jan 05 2014,1:00 PM,"Pennsylvania Convention Center, 105-B",American Economic Association,Households and Allocation Decisions,E2,Wenli Li,Federal Reserve Bank of Philadelphia,,,,,,,,,,,Francisco J. Buera,Male,FRANCISCO BUERA,,,,,NA,NA,NA,NA,NA
Francisco Roch,Fiscal Rules and the Sovereign Default Premium,University of Chicago,Jan 04 2014,10:15 AM,"Philadelphia Marriott, Meeting Room 402",Econometric Society,"Fiscal Policy, Financial Policy & Default",F3,Guido Lorenzoni,Northwestern University,Satyajit Chatterjee,Federal Reserve Bank of Philadelphia,Leonardo Martinez,International Monetary Fund,Emine Boz,International Monetary Fund,,,,,Francisco Roch,Male,,,,,,NA,NA,NA,NA,NA
Francois Ortalo-Magne,The Home Selling Problem: Theory and Evidence,University of Wisconsin,Jan 04 2014,2:30 PM,"Loews Philadelphia Hotel, Washington C",American Real Estate & Urban Economic Association,Agency Problems and Marketing of Real Estate,R2,Crocker Liu,Cornell University,Robert Van Order,George Washington University,John Krainer,Federal Reserve Bank of San Francisco,Paul Carrillo,George Washington University,Andrew Caplin,New York University,,,FRANCOIS ORTALO-MAGNE,Male,,,,,,NA,NA,NA,NA,NA
Frank Schorfheide,Shrinkage Estimation of High-Dimensional Factor Models with Structural Instabilities,University of Pennsylvania,Jan 03 2014,8:00 AM,"Philadelphia Marriott, Meeting Room 401",Econometric Society,Big Data and High-Dimensional Problems,C3,Jushan Bai,Columbia University,,,,,,,,,,,FRANK SCHORFHEIDE,Male,,,,,,NA,NA,NA,NA,NA
Frank Schorfheide,Assessing DSGE Model Nonlinearities,University of Pennsylvania,Jan 04 2014,10:15 AM,"Philadelphia Marriott, Meeting Rooms 408 & 409",Korea-America Economic Association,Measurement Issues in Dynamic Macro Models,E2,Yongsung Chang,University of Rochester and Yonsei University,Karel Mertens,Cornell University,Jesus Fernandez-Villaverde,University of Pennsylvania,Rebecca Hellerstein,Federal Reserve Bank of New York,Thomas Lubik,Federal Reserve Bank of Richmond,,,FRANK SCHORFHEIDE,Male,,,,,,NA,NA,NA,NA,NA
Frank Schorfheide,Identifying Long-Run Risks: A Bayesian Mixed-Frequency Approach,University of Pennsylvania,Jan 04 2014,8:00 AM,"Philadelphia Marriott, Meeting Room 406",Econometric Society,Volatility and Asset Returns,G1,Amir Yaron,University of Pennsylvania,,,,,,,,,,,FRANK SCHORFHEIDE,Male,,,,,,NA,NA,NA,NA,NA
Frank Schorfheide,Improving GDP Measurement: A Measurement Error Perspective,University of Pennsylvania,Jan 03 2014,10:15 AM,"Philadelphia Marriott, Meeting Room 401",Econometric Society,Advances in Macroeconometrics,C3,Barbara Rossi,Universitat Pompeu Fabra,,,,,,,,,,,FRANK SCHORFHEIDE,Male,,,,,,NA,NA,NA,NA,NA
Frank Schorfheide,Macroeconomic Dynamics Near the ZLB: A Tale of Two Equilibria,University of Pennsylvania,Jan 04 2014,2:30 PM,"Philadelphia Marriott, Meeting Room 403",Econometric Society,Macroeconomic Dynamics at the Zero Lower Bound,E6,Giorgio Primiceri,Northwestern University,,,,,,,,,,,FRANK SCHORFHEIDE,Male,,,,,,NA,NA,NA,NA,NA
Frank Smets,Booms and Systemic Banking Crises,European Central Bank,Jan 05 2014,1:00 PM,"Pennsylvania Convention Center, 201-B",American Economic Association,"Macro, Money and Financial Fragility",E5,Yuliy Sannikov,Princeton University,Sebastian DiTella,Stanford University,Matteo Maggiori,New York University,Valentin Haddad,Princeton University,,,,,FRANK SMETS,Male,,,,,,NA,NA,NA,NA,NA
Fredrik Andersson,Demolition-Forced Moves from Public Housing to Voucher Housing: Effects on Youth's Long-Term Employment Outcomes,Office of the Comptroller of the Currency,Jan 05 2014,1:00 PM,"Loews Philadelphia Hotel, Washington C",American Real Estate & Urban Economic Association,Urban Economics,R1,Jan Brueckner,University of California-Irvine,Donald Haurin,Ohio State University,Jeffrey Zax,University of Colorado-Boulder,Michael Eriksen,University of Georgia,Jeffrey Lin,Federal Reserve Bank of Philadelphia,,,FREDRIK ANDERSSON,Male,,,,,,NA,NA,NA,NA,NA
Gabriella Conti,Evaluating a Universal Health Insurance Program: Lessons from Mexico,University of Chicago,Jan 05 2014,1:00 PM,"Philadelphia Marriott, Grand Ballroom - Salon A",American Economic Association,Welfare Policies in Latin American,I3,Flavio Cunha,University of Pennsylvania,Renata Narita,World Bank,Alex Solis,Uppsala University,Rita Ginja,Uppsala University,Pedro Carneiro,University College London,,,Gabriella Conti,Female,,,,,,NA,NA,NA,NA,NA
Gee Hee Hong,Market Structure and Cost Pass-Through in Retail,Bank of Canada,Jan 04 2014,10:15 AM,"Philadelphia Marriott, Meeting Rooms 408 & 409",Korea-America Economic Association,Measurement Issues in Dynamic Macro Models,E2,Yongsung Chang,University of Rochester and Yonsei University,Karel Mertens,Cornell University,Jesus Fernandez-Villaverde,University of Pennsylvania,Rebecca Hellerstein,Federal Reserve Bank of New York,Thomas Lubik,Federal Reserve Bank of Richmond,,,Gee Hee Hong,Female,,,,,,NA,NA,NA,NA,NA
Geert Bekaert,Who is Internationally Diversified?,Columbia University,Jan 05 2014,8:00 AM,"Philadelphia Marriott, Grand Ballroom - Salon B",American Economic Association,Financial Decision-Making and the Household Balance Sheet,G2,David Laibson,Harvard University,Kory Kroft,University of Toronto,Frank Warnock,University of Virginia,Raven Molloy,Federal Reserve Board,Brian Bucks,Consumer Financial Protection Bureau,,,GEERT BEKAERT,Male,,,,,,NA,NA,NA,NA,NA
Gene M. Grossman,Matching and Sorting in the Global Economy,Princeton University,Jan 03 2014,2:30 PM,"Pennsylvania Convention Center, 103-B",American Economic Association,Trade and Inequality,F1,Gene Grossman,Princeton University,Ann Harrison,University of Pennsylvania,Thomas Sampson,London School of Economics,Rafael Dix-Carneiro,University of Maryland,Justin Pierce,Federal Reserve Board,,,Gene M. Grossman,Male,GENE GROSSMAN,,,,,NA,NA,NA,NA,NA
Geng Li,Estimates of Annual Consumption Expenditures and Its Major Subcomponents in the PSID in Comparison to the CE,Federal Reserve Board,Jan 03 2014,2:30 PM,"Pennsylvania Convention Center, 202-A",American Economic Association,New Directions and Opportunities for Research on Consumption with the PSID,A1,David Johnson,US Census Bureau,Richard Blundell,University College London,,,,,,,,,GENG LI,Male,,,,,,NA,NA,NA,NA,NA
Geng Li,"Household Formation, Credit, and Trustworthiness",Federal Reserve Board,Jan 05 2014,1:00 PM,"Pennsylvania Convention Center, 105-B",American Economic Association,Households and Allocation Decisions,E2,Wenli Li,Federal Reserve Bank of Philadelphia,,,,,,,,,,,GENG LI,Male,,,,,,NA,NA,NA,NA,NA
Geoffrey Heal,Discounting under Disagreement,Columbia University,Jan 03 2014,2:30 PM,"Philadelphia Marriott, Grand Ballroom - Salon K",Association of Environmental & Resource Economists,"Uncertainty, Risk, and Discounting in Climate Policy",Q4,Thomas Sterner,University of Gothenburg,Geoffrey Heal,Columbia University,Howard Kunreuther,University of Pennsylvania,Nicholas Flores,University of Colorado,Thomas Sterner,University of Gothenburg,,,GEOFFREY HEAL,Male,,,,,,NA,NA,NA,NA,NA
Geoffrey Tate,Are Credit Ratings Subjective? The Role of Credit Analysts in Determining Ratings,University of North Carolina-Chapel Hill,Jan 03 2014,10:15 AM,"Loews Philadelphia Hotel, Commonwealth Hall C",American Finance Association,Credit Rating Agencies,G2,Paolo Fulghieri,University of North Carolina-Chapel Hill,Bo Becker,Harvard Business School,Gunter Strobl,Frankfurt School of Management,Han Xia,University of Texas-Dallas,,,,,GEOFFREY TATE,Male,,,,,,NA,NA,NA,NA,NA
Geoffrey Tate,Female Leadership and Gender Equity: Evidence from Plant Closure,University of North Carolina,Jan 05 2014,1:00 PM,"Philadelphia Marriott, Grand Ballroom - Salon J",American Economic Association,Gender in Organizational Hierarchies,J7,Amalia Miller,University of Virginia,Manuel Bagues,Universidad Carlos III,Mario Macis,"Johns Hopkins University, IZA",Francine D. Blau,Cornell University,Fidan Ana Kurtulus,University of Massachusetts-Amherst,,,GEOFFREY TATE,Male,,,,,,NA,NA,NA,NA,NA
Georg Strasser,Does Marketing Widen Borders? Cross-Country Price Dispersion in the European Car Market,Boston College,Jan 05 2014,1:00 PM,"Philadelphia Marriott, Grand Ballroom - Salon K",American Economic Association,Empirical Studies in International Trade,F1,Linda Tesar,University of Michigan,,,,,,,,,,,Georg Strasser,Male,,,,,,NA,NA,NA,NA,NA
George A. Alessandria,Do Falling Iceberg Costs Explain Recent United States Export Growth?,Federal Reserve Bank of Philadelphia,Jan 05 2014,10:15 AM,"Pennsylvania Convention Center, 201-A",American Economic Association,"Structural Change, International Trade, and Real Exchange Rate",O4,Enrique Mendoza,University of Pennsylvania,Douglas Gollin,(Williams College),Kei-Mu Yi,Federal Reserve Bank of Minneapolis,Vivian Yue,Federal Reserve Board,Yongseok Shin,Washington University-St Louis,,,George A. Alessandria,Male,GEORGE ALESSANDRIA,,,,,NA,NA,NA,NA,NA
Georgy Egorov,Endogenous Property Rights,Northwestern University,Jan 05 2014,10:15 AM,"Philadelphia Marriott, Meeting Room 404",Econometric Society,Political Economy,F5,Aleh Tsyvinski,Yale University,,,,,,,,,,,GEORGY EGOROV,Male,,,,,,NA,NA,NA,NA,NA
Georgy Egorov,Incumbency Advantages in Non-Democracies,Northwestern University,Jan 04 2014,8:00 AM,"Pennsylvania Convention Center, 204-C",American Economic Association,Economics of Revolutions,D7,Daron Acemoglu,Massachusetts Institute of Technology,Remi Jedwab,George Washington University,Carlo Prato,Georgetown University and Princeton University,Filipe Campante,Harvard University,Erik Meyersson,Stockholm School of Economics,,,GEORGY EGOROV,Male,,,,,,NA,NA,NA,NA,NA
Georgy Egorov,Optimal Savings Contracts and Withdrawal Penalties,Northwestern University,Jan 04 2014,2:30 PM,"Philadelphia Marriott, Meeting Room 401",Econometric Society,Bounded Rationality and Markets,D4,Bart Lipman,Boston University,,,,,,,,,,,GEORGY EGOROV,Male,,,,,,NA,NA,NA,NA,NA
Gerald Auten,Patterns and Persistence of Cash and Non-Cash Giving,US Department of the Treasury,Jan 04 2014,12:30 PM,"Philadelphia Marriott, Meeting Room 310",Association for the Study of Generosity in Economics,Charitable Giving and Tax Policy,H2,C. Steuerle,Urban Institute,Bariş Yörük,State University of New York-Albany,C. Eugene Steuerle,Urban Institute,Jon Bakija,Williams College,Joseph Rosenberg,Urban Institute,,,GERALD AUTEN,Male,,,,,,NA,NA,NA,NA,NA
Gerard Hoberg,The Incentives for Vertical Mergers and Vertical Integration,University of Maryland,Jan 04 2014,8:00 AM,"Loews Philadelphia Hotel, Commonwealth Hall B",American Finance Association,Motivations and Value Creation in Mergers,G3,Robert Parrino,University of Texas,Thomas W. Bates,Arizona State University,Andres Almazan,University of Texas-Austin,Matthew Rhodes-Kropf,Harvard Business School,Alex Edmans,University of Pennsylvania,,,GERARD HOBERG,Male,,,,,,NA,NA,NA,NA,NA
German Cubas,Comparative Advantage and Risk Premia in Labor Markets,University of Houston,Jan 04 2014,10:15 AM,"Philadelphia Marriott, Meeting Room 405",Econometric Society,Wage Inequality,E2,Alisdair McKay,Boston University,,,,,,,,,,,German Cubas,Male,,,,,,NA,NA,NA,NA,NA
Ghazala Azmat,Gender Gaps in Performance: Evidence from Young Lawyers,"Queen Mary, University of London",Jan 04 2014,8:00 AM,"Pennsylvania Convention Center, 203-A",American Economic Association,Gender Gaps: Occupations and Family Responsibilities,J3,Wayne Grove,Le Moyne College,Per Johansson,Uppsala University and IZA,Ghazala Azmat,"Queen Mary, University of London",Takao Kato,Colgate University,Dora Gicheva,University of North Carolina-Greensboro,,,Ghazala Azmat,Female,,,,,,NA,NA,NA,NA,NA
Gian Luca Clementi,"Entry, Exit, Firm Dynamics, and Aggregate Fluctuations",New York University,Jan 03 2014,10:15 AM,"Philadelphia Marriott, Grand Ballroom - Salon J",American Economic Association,"Firms, Uncertainty and the Business Cycle",E3,Alessandro Barbarino,Federal Reserve Board,,,,,,,,,,,GIAN LUCA CLEMENTI,Male,GIAN-LUCA CLEMENTI,Jian Luca Clementi,,,,NA,NA,NA,NA,NA
Giancarlo Corsetti,International Competitiveness and Monetary Policy,Cambridge University,Jan 05 2014,10:15 AM,"Pennsylvania Convention Center, 201-A",American Economic Association,"Structural Change, International Trade, and Real Exchange Rate",O4,Enrique Mendoza,University of Pennsylvania,Douglas Gollin,(Williams College),Kei-Mu Yi,Federal Reserve Bank of Minneapolis,Vivian Yue,Federal Reserve Board,Yongseok Shin,Washington University-St Louis,,,GIANCARLO CORSETTI,Male,,,,,,NA,NA,NA,NA,NA
Gianluca Benigno,Optimal Policy for Macro-Financial Stability,London School of Economics,Jan 05 2014,8:00 AM,"Pennsylvania Convention Center, 203-B",American Economic Association,Macroprudential Policies,E5,Jaume Ventura,"CREI, UPF, and Barcelona GSE",,,,,,,,,,,GIANLUCA BENIGNO,Male,,,,,,NA,NA,NA,NA,NA
Gianluca Violante,A Tale of Two Stimulus Payments: 2001 vs 2008,New York University,Jan 05 2014,1:00 PM,"Pennsylvania Convention Center, 201-C",American Economic Association,Perspectives on Consumption,E2,Alisdair McKay,Boston University,Sam Schulhofer-Wohl,Federal Reserve Bank of Minneapolis,Toshihiko Mukoyama,University of Virginia,Dirk Krueger,University of Pennsylvania,Jeffrey R. Campbell,Federal Reserve Bank of Chicago,,,GIANLUCA VIOLANTE,Male,,,,,,NA,NA,NA,NA,NA
Gianluca Violante,Education Policy and Intergenerational Transfers in Equilibrium,New York University,Jan 03 2014,8:00 AM,"Pennsylvania Convention Center, 105-B",American Economic Association,Economics of Intergenerational Transfers and Wealth,J1,Karen Eggleston,Stanford University,Susan M. Dynarski,University of Michigan,Costas Meghir,Yale University,Xiaobo Zhang,International Food Policy Research Institute,Albert Park,Hong Kong University of Science and Technology,,,GIANLUCA VIOLANTE,Male,,,,,,NA,NA,NA,NA,NA
Gianluca Violante,What Shifts the Beveridge Curve? Recruitment Effort and Financial Shocks,New York University,Jan 03 2014,10:15 AM,"Philadelphia Marriott, Meeting Room 411",Econometric Society,New Perspectives on Jobless Recoveries,E1,Gianluca Violante,New York University,,,,,,,,,,,GIANLUCA VIOLANTE,Male,,,,,,NA,NA,NA,NA,NA
Gill Segal,Good and Bad Uncertainty: Macroeconomic and Financial Market Implications,University of Pennsylvania,Jan 03 2014,8:00 AM,"Pennsylvania Convention Center, 201-B",American Economic Association,Macroeconomic Uncertainty and Asset Prices,G1,Ivan Shaliastovich,University of Pennsylvania,,,,,,,,,,,Gill Segal,Male,,,,,,NA,NA,NA,NA,NA
Gilles Duranton,Roads and Trade: Evidence from the United States,University of Pennsylvania,Jan 04 2014,2:30 PM,"Pennsylvania Convention Center, 202-A",American Economic Association,Trade and the Economic Impacts of Transportation Infrastructure,F1,Stephen Redding,Princeton University,Felix Tintlenot,University of Chicago and Pennsylvania State University,Michal Fabinger,Pennsylvania State University,David Atkin,Yale University,Kerem Cosar,University of Chicago,,,GILLES DURANTON,Male,,,,,,NA,NA,NA,NA,NA
Ginger Zhe Jin,Consumer Protection or COnsumer Frustration? The Impact of Banning Foreign Pharmacies from Sponsored Search,University of Maryland,Jan 05 2014,1:00 PM,"Pennsylvania Convention Center, 201-A",American Economic Association,Information and Learning in Over-the-Counter and Online Drug Markets,D8,Sofia Villas-Boas,University of California-Berkeley,Sara Ellison,Massachusetts Institute of Technology,Liran Einav,Stanford University,Justine Hastings,Brown University,Benjamin R. Handel,University of California-Berkeley,,,GINGER ZHE JIN,Female,GINGER JIN,,,,,NA,NA,NA,NA,NA
Giovanni Gallipoli,Education Policy and Intergenerational Transfers in Equilibrium,University of British Columbia,Jan 03 2014,8:00 AM,"Pennsylvania Convention Center, 105-B",American Economic Association,Economics of Intergenerational Transfers and Wealth,J1,Karen Eggleston,Stanford University,Susan M. Dynarski,University of Michigan,Costas Meghir,Yale University,Xiaobo Zhang,International Food Policy Research Institute,Albert Park,Hong Kong University of Science and Technology,,,Giovanni Gallipoli,Male,,,,,,NA,NA,NA,NA,NA
